id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
deut4082,boehme-volksthumliche-lieder,Jan Borluut,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,compound duple,,,,,boehme1895volksthumliche,,,,,,364a,364,A0364A,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4082.krn,kern,1.0,700f08d535646e12042cfa9b7c6233eb,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4082.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4082.krn,False,True,,,"Melodie muendlich durch die Familie Westendorp in Elberfeld,|zuerst mitgetheilt in der Zs. des Bergischen Geschichtsvereins II|(1865) durch Dr. Crecelius.|ESAC (Essen Associative Code) Database: ALTDEU",,,,
deut4083,boehme-volksthumliche-lieder,Jacob Von Artefelde,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,compound duple,,,,,boehme1895volksthumliche,,,,,,364b,364,A0364B,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4083.krn,kern,1.0,4aee860a217cd241a1522b152498a204,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4083.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4083.krn,False,True,,,Bei der Familie Westendorp in Elberfeld gehoert und mitgetheilt|durch F.W. Arnold: Volkslieder I. S. 14.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
deut4084,boehme-volksthumliche-lieder,Das Stortebekerlied (1402),,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,simple quadruple,,,,,boehme1895volksthumliche,,,,,,366,366,A0366,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4084.krn,kern,1.0,ecfa3fb95c3d3c53f86eece626217060,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4084.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4084.krn,False,True,,,"M. Franck, Fasciculus quodlibeticus 1615 No. 6.|ESAC (Essen Associative Code) Database: ALTDEU",,,,
deut4085,boehme-volksthumliche-lieder,Herr Von Sain,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,simple duple,,,,,boehme1895volksthumliche,,,,,,367,367,A0367,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4085.krn,kern,1.0,d2ba08ad555ba2177c45299553279c73,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4085.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4085.krn,False,True,,,"Melodie aus einer Pap. Hs. der Stadtbibl. zu Aachen. 16. Jh.|fol. 49. Abgedruckt Dr. L. Lerch, Niederrhein. Jahrb. f. Gesch.|und Kunst. Bonn 1844. II. Bd. S. 341.|ESAC (Essen Associative Code) Database: ALTDEU",,,,
deut4086,boehme-volksthumliche-lieder,Thijsken Van Den Schilde,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,irregular,,,,,boehme1895volksthumliche,,,,,,368,368,A0368,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4086.krn,kern,1.0,df67ceaa76ef6a2568422725f9f41c14,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4086.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4086.krn,False,True,,,Mixed meters:  4/2; 6/2|Souterliedekens 1540 ad Ps. 112. Nach 1400.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
deut4087,boehme-volksthumliche-lieder,Schuettensam,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,irregular,,,,,boehme1895volksthumliche,,,,,,373a,373,A0373A,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4087.krn,kern,1.0,0265773797a1c982a4856839dc6504aa,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4087.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4087.krn,False,True,,,Mixed meters:  4/2; 6/2|Aus einem fliegenden Blatt von 1540.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
deut4088,boehme-volksthumliche-lieder,Schuettensam,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,simple triple,,,,,boehme1895volksthumliche,,,,,,373b,373,A0373B,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4088.krn,kern,1.0,a4e24ab4b47f339e0f2e6b12e40890a5,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4088.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4088.krn,False,True,,,Fragment bei Forster II. 1540 No. 60.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
deut4089,boehme-volksthumliche-lieder,Schuettensam,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,simple quadruple,,,,,boehme1895volksthumliche,,,,,,373c,373,A0373C,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4089.krn,kern,1.0,a870de8b3ea4282762d8135f3ea53f90,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4089.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4089.krn,False,True,,,Mainzer Cantual 1605 S. 135 und Paderborner Gsgb. 1617 S. 135.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
deut4090,boehme-volksthumliche-lieder,Das Dollerlied,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,irregular,,,,,boehme1895volksthumliche,,,,,,374a,374,A0374A,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4090.krn,kern,1.0,326de042189d1c7809436125c9177f01,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4090.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4090.krn,False,True,,,Mixed meters:  4/2; 6/2|Melodie 1611 im Goerlitzer Gsgb. S. 552.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
deut4091,boehme-volksthumliche-lieder,Das Dollerlied,,Germany,,,,German,stan1295,German,,,romance|ballad||person,,,voice,,,True,,,,,,,simple quadruple,,,,,boehme1895volksthumliche,,,,,,374b,374,A0374B,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut4091.krn,kern,1.0,514efc58258a932e7a9ebb74ac65c30e,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4091.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4091.krn,False,True,,,Werlins Hs. 1646 S. 2946.|ESAC (Essen Associative Code) Database: ALTDEU,,,,
