id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
child01,bronson-child-ballads,0.0.1,"Child Ballad No. 1, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,4,1,,,,,,,,,data/child01.krn,kern,,350fc2b9839d7d7669d83f77efdc03c2,https://kern.humdrum.org/cgi-bin/ksdata?file=child01.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child01.krn,False,True,,,,,,,
child02,bronson-child-ballads,0.0.1,"Child Ballad No. 2, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,11,2,,,,,,,,,data/child02.krn,kern,,77e3685f3041918f2f18475846f152d9,https://kern.humdrum.org/cgi-bin/ksdata?file=child02.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child02.krn,False,True,,,,,,,
child03,bronson-child-ballads,0.0.1,"Child Ballad No. 3, Tune No. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,35,3,,,,,,,,,data/child03.krn,kern,,fe5a1e1f2142f27fa1ceca88c719ae1c,https://kern.humdrum.org/cgi-bin/ksdata?file=child03.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child03.krn,False,True,,,,,,,
child04,bronson-child-ballads,0.0.1,"Child Ballad No. 4, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,42,4,,,,,,,,,data/child04.krn,kern,,fbd5033b1cbe6aaef554cd0485f8a086,https://kern.humdrum.org/cgi-bin/ksdata?file=child04.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child04.krn,False,True,,,,,,,
child05,bronson-child-ballads,0.0.1,"Child Ballad No. 5, Tune No. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,103,5,,,,,,,,,data/child05.krn,kern,,d0f042c816103be0a962226724d4ed89,https://kern.humdrum.org/cgi-bin/ksdata?file=child05.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child05.krn,False,True,,,,,,,
child06,bronson-child-ballads,0.0.1,"Child Ballad No. 6, Tune No. 1a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,104,6,,,,,,,,,data/child06.krn,kern,,909020aff4c7af51abe43d6d5ea8bb66,https://kern.humdrum.org/cgi-bin/ksdata?file=child06.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child06.krn,False,True,,,,,,,
child07,bronson-child-ballads,0.0.1,"Child Ballad No. 7, Tune No. 1a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,107,7,,,,,,,,,data/child07.krn,kern,,bf2354ab66735a3cf4724586781451c4,https://kern.humdrum.org/cgi-bin/ksdata?file=child07.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child07.krn,False,True,,,,,,,
child09,bronson-child-ballads,0.0.1,"Child Ballad No. 9, Tune No. 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,142,9,,,,,,,,,data/child09.krn,kern,,d57956e1e1a324ffdc20f1a2428bb56c,https://kern.humdrum.org/cgi-bin/ksdata?file=child09.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child09.krn,False,True,,,,,,,
child10,bronson-child-ballads,0.0.1,"Child Ballad No. 10, Tune No. 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,147,10,,,,,,,,,data/child10.krn,kern,,e6e4f58227581abaeca9e6e6e71ddfe4,https://kern.humdrum.org/cgi-bin/ksdata?file=child10.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child10.krn,False,True,,,,,,,
child11,bronson-child-ballads,0.0.1,"Child Ballad No. 11, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,186,11,,,,,,,,,data/child11.krn,kern,,67d346850648df65e13b1ba86744545d,https://kern.humdrum.org/cgi-bin/ksdata?file=child11.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child11.krn,False,True,,,,,,,
child12,bronson-child-ballads,0.0.1,"Child Ballad No. 12, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,194,12,,,,,,,,,data/child12.krn,kern,,28167cea416012d60db59a37174606f5,https://kern.humdrum.org/cgi-bin/ksdata?file=child12.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child12.krn,False,True,,,,,,,
child13,bronson-child-ballads,0.0.1,"Child Ballad No. 13, Tune No. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,238,13,,,,,,,,,data/child13.krn,kern,,9e4e673746829f92d947204f40946f6b,https://kern.humdrum.org/cgi-bin/ksdata?file=child13.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child13.krn,False,True,,,,,,,
child14,bronson-child-ballads,0.0.1,"Child Ballad No. 14, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,248,14,,,,,,,,,data/child14.krn,kern,,81987adf1364ad67edcf5db89ac34662,https://kern.humdrum.org/cgi-bin/ksdata?file=child14.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child14.krn,False,True,,,,,,,
child16,bronson-child-ballads,0.0.1,"Child Ballad No. 16, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,253,16,,,,,,,,,data/child16.krn,kern,,df657f2c20fa2c779e2b35be63065c98,https://kern.humdrum.org/cgi-bin/ksdata?file=child16.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child16.krn,False,True,,,,,,,
child17,bronson-child-ballads,0.0.1,"Child Ballad No. 17, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,255,17,,,,,,,,,data/child17.krn,kern,,2db981f3909779dc7df5982e69a4baa6,https://kern.humdrum.org/cgi-bin/ksdata?file=child17.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child17.krn,False,True,,,,,,,
child18,bronson-child-ballads,0.0.1,"Child Ballad No. 18, Tune No. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,268,18,,,,,,,,,data/child18.krn,kern,,7b3d52a07085962df269271a302a650d,https://kern.humdrum.org/cgi-bin/ksdata?file=child18.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child18.krn,False,True,,,,,,,
child19,bronson-child-ballads,0.0.1,"Child Ballad No. 19, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,275,19,,,,,,,,,data/child19.krn,kern,,21555ffb046085a6f1d627d2193e5cfb,https://kern.humdrum.org/cgi-bin/ksdata?file=child19.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child19.krn,False,True,,,,,,,
child20,bronson-child-ballads,0.0.1,"Child Ballad No. 20, Tune No. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,279,20,,,,,,,,,data/child20.krn,kern,,59754e6aefc54130cfa1cc6a596e679a,https://kern.humdrum.org/cgi-bin/ksdata?file=child20.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child20.krn,False,True,,,,,,,
child22,bronson-child-ballads,0.0.1,"Child Ballad No. 22, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,297,22,,,,,,,,,data/child22.krn,kern,,0fed2196971e918a90a348e3243fe787,https://kern.humdrum.org/cgi-bin/ksdata?file=child22.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child22.krn,False,True,,,,,,,
child24,bronson-child-ballads,0.0.1,"Child Ballad No. 24, Tune No. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronson1959child,,,,,298,24,,,,,,,,,data/child24.krn,kern,,3c735f4edd213aae88b0793e1419ef68,https://kern.humdrum.org/cgi-bin/ksdata?file=child24.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child24.krn,False,True,,,,,,,
