id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
nova001,creighton-nova-scotia,False Night Upon the Road,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Faulkner|Mr. Ben Henneberry,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,1,1,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova001.krn,kern,2004/06/05,c1b4fa74358773c1296ea893e243ceaa,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova001.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova001.krn,False,True,,"{""verses"": ""6"", ""VTS"": ""194250550""}",,,,,
nova002,creighton-nova-scotia,Cruel Mother,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Ben Henneberry,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,3,2,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova002.krn,kern,2004/06/05,9ad2d165e047bd6a6bfd18ad1ea70494,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova002.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova002.krn,False,True,,"{""verses"": ""17"", ""VTS"": ""1626060861""}",,,,,
nova003,creighton-nova-scotia,Captain Wedderburn's Courtship,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Richard Hartlan,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,6,3,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova003.krn,kern,2004/06/05,3a400ad24844233f3dd2967afea68381,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova003.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova003.krn,False,True,,"{""verses"": ""7"", ""VTS"": ""2636633116""}",,,,,
nova004,creighton-nova-scotia,Lord Thomas and Fair Ellinor,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mrs. William McNab,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,8,4,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova004.krn,kern,2004/06/05,a41d4ea1a4b670d64ba82d5597e95315,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova004.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova004.krn,False,True,,"{""verses"": ""13"", ""VTS"": ""2608236111""}",,,,,
nova005,creighton-nova-scotia,Little Musgrave and Lady Barnard,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mrs. William McNab,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,11,5,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova005.krn,kern,2004/06/05,2175762792a2f70474a7afd872583d84,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova005.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova005.krn,False,True,,"{""verses"": ""4"", ""VTS"": ""3208315214""}",,,,,
nova006,creighton-nova-scotia,Bold Pedlar and Robin Hood,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Ben Henneberry,,,,,True,,1; Dorian,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,12,6,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova006.krn,kern,2004/06/05,91d3ed3e4a7aaa20d4d2090a790c4414,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova006.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova006.krn,False,True,,"{""verses"": ""8"", ""VTS"": ""3712528042""}",,,,,
nova007,creighton-nova-scotia,Robin Hood's Progress to Nottingham,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Ben Henneberry,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,15,7,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova007.krn,kern,2004/06/05,e11502f3571bf28ed9981e9cd83a9bec,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova007.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova007.krn,False,True,,"{""verses"": ""3"", ""VTS"": ""2107015962""}",,,,,
nova008,creighton-nova-scotia,Sir Hugh,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mrs. William McNab,,,,,True,,1; Dorian,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,16,8,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova008.krn,kern,2004/06/05,54caaf95001b867a0a0ee80df88cc94f,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova008.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova008.krn,False,True,,"{""verses"": ""7"", ""VTS"": ""3109789417""}",,,,,
nova009,creighton-nova-scotia,Farmer's Curst Wife,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Faulkner|Mr. Ben Henneberry,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,18,9,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova009.krn,kern,2004/06/05,a99d4992947be8d5c0b0e5ab18856eff,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova009.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova009.krn,False,True,,"{""verses"": ""12"", ""VTS"": ""3682476584""}",,,,,
nova010,creighton-nova-scotia,Sweet Trinity,,Canada; Nova Scotia,45,-63,False,English,atla1283,Folksongs of Maritime Canada,,,,Mr. Richard Hartlan,,,,,True,,,,,,,,Helen Creighton,,1928,1932,creighton1932nova,book,Songs and Ballads from Nova Scotia,Helen Creighton,1932,20,10,,,,Craig Stuart Sapp (music and bibliographic data)|Marcus Pearce (phrase markings and key designations)|Darrell Conklin (phrase markings and key designations),2002/04/10/,,,,data/kern/nova010.krn,kern,2004/06/05,7673d94bacf5467434f9639f79c31748,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova010.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova010.krn,False,True,,"{""verses"": ""8"", ""VTS"": ""1679397965""}",,,,,
