id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
choct01,densmore-choctaw,War Song,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,war,Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,voice,False,False,True,third lacking,,,63,1.0,2/4|3/4|5/8,irregular,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,124,1,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct01.krn,kern,Release 1.0,adce80f60e80ed4bd64471ea17e82fc1,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","This melody is based on intervals, not on the relationship of tones to a keynote. The principal interval is a whole tone, occurring chiefly between A flat and B flat, next in frequency being the minor third between B flat and D flat. The keynote is regarded as D flat, which occurs as next to the highest tone, and the melody contains only this tone with its second and fifth.",,
choct02,densmore-choctaw,"""Begging for Gunpower"" Song",,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,war,Lysander Tubby,male,voice,False,False,True,major,,,69,1.0,3/4|2/4|5/8|3/8,irregular,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,125,2,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct02.krn,kern,Release 1.0,6045e1700488b1b11265ca113ccff2ad,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","A descending fourth followed by an ascending fourth characterizes this song, which is minor in tonality, with the keynote occurring as the highest tone of the compass.",,
choct03,densmore-choctaw,I am Going,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,war,Lysander Tubby,male,voice,False,False,True,major,,,60,1.0,2/4,simple duple,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,125,3,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct03.krn,kern,Release 1.0,8ec1fecbc39e771d64d69502fc36de77,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","This interesting melody is based on the minor triad and minor seventh, with the tones occurring in descending order. Slight differences in the repetitions are shown, these occurring in the middle of the song, where changes most frequently occur in the melodic or rhythmic pattern of an Indian song. The ti'anscription is a semitone lower than the pitch of the rendition. As in similar instances, a. simpler signature is used when the pitch of the rendition would require six sharps or flats.",,"I am going. (Repeated many times.)
My face is painted so they cannot see me."
choct04,densmore-choctaw,Slacker Song,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,war,Lysander Tubby,male,voice,False,False,True,third lacking,,,84,1.0,2/4|3/8|5/8|7/8,irregular,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,126,4,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct04.krn,kern,Release 1.0,d657fe497bd4fe1c2eddb9d1d928e421,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","As in No. 2, the keynote occurs only as the highest tone in this melody. The peculiar measure lengths were accurately repeated in all the renditions, also the length of the rests. This transcription contains a plus sign over several notes, showing the tone was slightly above the indicated pitch. This occurs also in Nos. 5, 22, 23, 25, 28, 36, and 38, and is used only when the deviation from pitch is persistent in all the renditions.",,"I will tell you how we are going.
When you get to that place you must wait for me."
choct05,densmore-choctaw,Victory Song,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,war,Lysander Tubby,male,voice,False,False,True,major,,,52|63,1.0,2/4,irregular,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,127,5,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct05.krn,kern,Release 1.0,ebbdb2062db4988e9a5db1ead6510992,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","In contrast to the preceding war songs, the keynote of this melody is the lowest tone and is strongly emphasized. This gives an effect of iwsitive- ness that has been noted in songs of success in other tribes. A change to minor tonality is indicated by an accidental rather than by a change of signature.",,"Where I went along they saw my tracks,
After I killed him they saw my tracks and cried. My headman told men to kill him,
I killed him because my headman told me to,
I hid in the bushes after killing him, but they came near seeing me."
choct06,densmore-choctaw,Whistle Melody,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,game,,,whistle,True,False,False,minor,,,100|63|126,1.0,3/4|3/8|2/4|4/4,irregular,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,,,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct06.krn,kern,Release 1.0,bee1804f0949f5b04eb1c4588d1b0c88,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.",,,
choct07a,densmore-choctaw,Song for Success in the Ball Game,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,game,Robert Henry,male,voice,False,False,True,major,,,84,1.0,2/4,simple duple,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,131,6,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct07a.krn,kern,Release 1.0,dbd3f8eb3b3e95f750ebb8ab6db6137e,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","This melody is almost an incantation, in its simplicity of melody and rhythm. Two renditions are presented, each by a man regarded as an authority on the ball game. The essential rhythm and melody are the same, with variation that seems permissible among the Choctaw. In both renditions the only descending progressions are whole tones. Both renditions have a compass of a major third. Frequent rests occur in the renditions by Henry, dividing the melody into phrases, but the rendition by Willis, lasting 20 seconds, was sung without a pause for a breath.",,
choct07b,densmore-choctaw,Song for Success in the Ball Game,,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,game,Gus Willis,male,sticks|voice,True,True,True,major,,,60,1.0,2/4,simple duple,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,131,6 [duplicate],,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct07b.krn,kern,Release 1.0,34e6adefb92a45b02f1347566c497907,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.","This melody is almost an incantation, in its simplicity of melody and rhythm. Two renditions are presented, each by a man regarded as an authority on the ball game. The essential rhythm and melody are the same, with variation that seems permissible among the Choctaw. In both renditions the only descending progressions are whole tones. Both renditions have a compass of a major third. Frequent rests occur in the renditions by Henry, dividing the melody into phrases, but the rendition by Willis, lasting 20 seconds, was sung without a pause for a breath.",,
choct08,densmore-choctaw,Bullet Game Song (a),,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,game,Sidney Wesley (Lapĭn'tabe'se'ihoke'),male,voice,False,False,True,minor,,,144,1.0,2/4,simple duple,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,133,7,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct08.krn,kern,Release 1.0,140e5f9dc4e84cfae220b711ad681760,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"Transcribed pitches, durations, and meters are only approximate.",The chief interest of this song is in the thematic treatment of the opening phrase. This is evident throughout the melody and is the more interesting as Wesley is not accustomed to singing these old songs at the present time.,,Here are four counters.
choct09,densmore-choctaw,Bullet Game Song (b),,"Philadelphia, Mississippi, United States of America",32.774167,-89.112778,False,Choctaw,choc1276,Choctaw,Ng12,,game,Gus Willis,male,voice,False,False,True,irregular,,,144,1.0,2/4,simple duple,Frances Densmore,1933-01,,,densmore1943choctaw,book,,Frances Densmore,1943,134,8,,,,David Huron,"August 27, 2000",,Electronic Copyright 2000 David Huron,,data/choct09.krn,kern,Release 1.0,c13876b5d69626efea3f321e635f39ed,,,True,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Muskogean""}",,"['Transcribed pitches, durations, and meters are only approximate.', 'Irregular in tonality.']",,,
