id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
maidu001,densmore-maidu,Song of the Hesi Dance (a),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Pablo Sylvers,,voice|striking on a plank,True,True,True,,,,92,1.0,2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,17,1,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=33,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Song_of_the_Hesi_Dance_(a).krn,kern,,33fd2b1dd872a59659bc6ec5d871b46c,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_1_Song_of_the_Hesi_Dance_(a).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 5, ""section"": ""songs of ceremonial dances""}",,,,,
maidu002,densmore-maidu,Song of the Hesi Dance (b),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Pablo Sylvers,,voice|striking on a plank,True,True,True,,,,60,1.0,3/4|2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,18,2,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=34,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_Song_of_the_Hesi_Dance_(b).krn,kern,,387c27155f123e75b13093d93a1f477a,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_2_Song_of_the_Hesi_Dance_(b).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 6, ""section"": ""songs of ceremonial dances""}",,,,,
maidu003,densmore-maidu,Song of the Duck Dance (a),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Pablo Sylvers,,voice,,,True,major,,,88,1.0,2/4|3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,18,3,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=34,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_of_the_Duck_Dance_(a).krn,kern,,8bd8869c0404bccad3336420653a9ebc,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_3_Song_of_the_Duck_Dance_(a).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 16, ""section"": ""songs of ceremonial dances""}",,,,,
maidu004,densmore-maidu,Song of the Duck Dance (b),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,minor,,,72,1.0,2/4|3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,19,4,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=35,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_of_the_Duck_Dance_(b).krn,kern,,f9a9bb362a1329f2541ab7d5c85433b1,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_4_Song_of_the_Duck_Dance_(b).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 15, ""section"": ""songs of ceremonial dances""}",,,,,
maidu005,densmore-maidu,Song of the Duck Dance (c),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,minor,,,60,1.0,3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,19,5,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=35,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_of_the_Duck_Dance_(c).krn,kern,,1bb74348409bd668cad88f23a09d67f5,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_5_Song_of_the_Duck_Dance_(c).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 7, ""section"": ""songs of ceremonial dances""}",,,,,"The first flowers are blooming, so we are glad."
maidu006,densmore-maidu,Song of the Duck Dance (d),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,major,,,60,1.0,2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,20,6,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=36,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_Song_of_the_Duck_Dance_(d).krn,kern,,45e627ae6754f3f975ae4d22be2c628a,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_6_Song_of_the_Duck_Dance_(d).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 8, ""section"": ""songs of ceremonial dances""}",,,,,"Lively, lively. We are lots of people."
maidu007,densmore-maidu,Song of the Bear Dance (a),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,irregular,,,80,1.0,3/4|2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,21,7,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=37,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Song_of_the_Bear_Dance_(a).krn,kern,,18173628d130475af6eb749a4d90287e,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_7_Song_of_the_Bear_Dance_(a).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 18, ""section"": ""songs of ceremonial dances""}",,,,,
maidu008,densmore-maidu,Song of the Bear Dance (b),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,major,,,88,1.0,3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,21,8,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=37,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_Song_of_the_Bear_Dance_(b).krn,kern,,7abdeb608c4cd4a58b5932d67e67117c,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_8_Song_of_the_Bear_Dance_(b).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 17, ""section"": ""songs of ceremonial dances""}",,,,,
maidu009,densmore-maidu,Song of the Bear Dance (c),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,major,,,88,1.0,2/4|3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,22,9,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=38,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_of_the_Bear_Dance_(c).krn,kern,,5399f89d175afc8ff199d8fbd3eb3169,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_9_Song_of_the_Bear_Dance_(c).krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 19, ""section"": ""songs of ceremonial dances""}",,,,,
maidu010,densmore-maidu,Song of the Grasshopper Dance,,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,ceremonial|dance,Amanda Wilson,,voice,,,True,minor,,,104,1.0,2/4|3/4|3/8,,Frances Densmore,1937-03,,,densmore1958maidu,book,,Frances Densmore,1958,22,10,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=38,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Song_of_the_Grasshopper_Dance.krn,kern,,4144a81168e94ab7f687ed861c95d3e4,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/No_10_Song_of_the_Grasshopper_Dance.krn,,False,True,,"{""lang"": ""Non-Tone"", ""ling_group"": ""Penutian"", ""record_num"": 12, ""section"": ""songs of ceremonial dances""}",,,,,
