id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
maidu001,densmore-maidu,0.0.1,Song of the Hesi Dance (a),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Pablo Sylvers,male,voice|striking on a plank,True,True,True,,,,92,1.0,2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,17,1,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=33,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Song_of_the_Hesi_Dance_(a).krn,kern,,33fd2b1dd872a59659bc6ec5d871b46c,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 5, ""meta.singers_num"": 3, ""meta.bpm_voice"": ""92"", ""meta.bpm_drum"": NaN}",,,"This melody consists of a four-measure phrase, repeated 9 times with inter esting variations. A two-measure phrase occurs midway through the melody and at the close. The song has a compass of 5 tones and contains only the tones of the minor triad and fourth.",,meta.free_translation
maidu002,densmore-maidu,0.0.1,Song of the Hesi Dance (b),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Pablo Sylvers,male,voice|striking on a plank,True,True,True,,,,60,1.0,3/4|2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,18,2,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=34,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_Song_of_the_Hesi_Dance_(b).krn,kern,,387c27155f123e75b13093d93a1f477a,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 6, ""meta.singers_num"": 4, ""meta.bpm_voice"": ""60"", ""meta.bpm_drum"": NaN}",,,"An interesting dance rhythm occurs in this melody, the performance end ing on the fourth above the keynote. Several renditions of the repeated portion were recorded.",,meta.free_translation
maidu003,densmore-maidu,0.0.1,Song of the Duck Dance (a),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Pablo Sylvers,male,voice,,,True,major,,,88,1.0,2/4|3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,18,3,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=34,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_of_the_Duck_Dance_(a).krn,kern,,8bd8869c0404bccad3336420653a9ebc,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 16, ""meta.singers_num"": 8, ""meta.bpm_voice"": ""88"", ""meta.bpm_drum"": NaN}",,,"The longest tone in this song is the quarter note at the beginning of the repeated portion. This tone seems to steady the rhythm of the entire melody. Many short rests occur, and were given clearly. The song has a compass of 6 tones and is based on the fourth five-toned scale.",,meta.free_translation
maidu004,densmore-maidu,0.0.1,Song of the Duck Dance (b),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,minor,,,72,1.0,2/4|3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,19,4,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=35,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_of_the_Duck_Dance_(b).krn,kern,,f9a9bb362a1329f2541ab7d5c85433b1,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 15, ""meta.singers_num"": 8, ""meta.bpm_voice"": ""72"", ""meta.bpm_drum"": NaN}",,,"The rhythm of this melody is somewhat jerky, and the phrases are short. The tones are those of the minor triad and fourth and every phrase is descending in trend.",,meta.free_translation
maidu005,densmore-maidu,0.0.1,Song of the Duck Dance (c),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,minor,,,60,1.0,3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,19,5,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=35,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_of_the_Duck_Dance_(c).krn,kern,,1bb74348409bd668cad88f23a09d67f5,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 7, ""meta.singers_num"": 3, ""meta.bpm_voice"": ""60"", ""meta.bpm_drum"": NaN}",,,"In structure this melody resembles the first song of the Hesi (No. 1). A phrase containing two measures is repeated ten times, with slight variations. A one-measure phrase in a slightly different rhythm occurs midway the length of the melody. The rhythm and tones of the first measure are duplicated only in the third measure, while the rhythm and tones of the second measure recur several times in the melody. Like many songs of the Maidu, this melody has a compass of five tones and is based on the minor triad and fourth.",,meta.free_translation
maidu006,densmore-maidu,0.0.1,Song of the Duck Dance (d),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,major,,,60,1.0,2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,20,6,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=36,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_Song_of_the_Duck_Dance_(d).krn,kern,,45e627ae6754f3f975ae4d22be2c628a,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 8, ""meta.singers_num"": 4, ""meta.bpm_voice"": ""60"", ""meta.bpm_drum"": NaN}",,,"This melody resembles the preceding dance songs in its two-measure answering phrases, but differs in melodic structure. This melody is framed on two overlapping tetrachords (D-C-A and C-A-G), each phrase ending with an ascending fourth. The keynote is midway the compass of the melody. In the pre ceding songs the keynote is frequently the lowest tone occurring in the melody.",,meta.free_translation
maidu007,densmore-maidu,0.0.1,Song of the Bear Dance (a),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,irregular,,,80,1.0,3/4|2/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,21,7,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=37,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Song_of_the_Bear_Dance_(a).krn,kern,,18173628d130475af6eb749a4d90287e,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 18, ""meta.singers_num"": 10, ""meta.bpm_voice"": ""80"", ""meta.bpm_drum"": NaN}",,,"This song has a marching rhythm and the phrases are short. The progressions suggest C sharp as the keynote, with a minor tonality. The third above C does not occur, but the sixth above C is a prominent tone and is a minor sixth above the keynote.",,meta.free_translation
maidu008,densmore-maidu,0.0.1,Song of the Bear Dance (b),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,major,,,88,1.0,3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,21,8,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=37,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_Song_of_the_Bear_Dance_(b).krn,kern,,7abdeb608c4cd4a58b5932d67e67117c,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 17, ""meta.singers_num"": 9, ""meta.bpm_voice"": ""88"", ""meta.bpm_drum"": NaN}",,,"A swinging rhythm characterizes this song, which contains long phrases without a rest. An ascending fourth occurs frequently, and overlapping, descend ing tetrachords occur several times (C-B flat-G and B flat-G-F). The keynote is next to the highest tone, and the third occurs only as the initial unaccented tone. This song is an example of a melody with interval-formation.",,meta.free_translation
maidu009,densmore-maidu,0.0.1,Song of the Bear Dance (c),,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,major,,,88,1.0,2/4|3/4,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,22,9,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=38,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_of_the_Bear_Dance_(c).krn,kern,,5399f89d175afc8ff199d8fbd3eb3169,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 19, ""meta.singers_num"": 11, ""meta.bpm_voice"": ""88"", ""meta.bpm_drum"": NaN}",,,"This song opens with a lively rhythm, but the change of measure-length in the third measure introduces a heavier motion, characterized by a succession of eighth notes. The implied keynote is A flat, and the melody contains the tones of the fourth five-toned scale.",,meta.free_translation
maidu010,densmore-maidu,0.0.1,Song of the Grasshopper Dance,,"Chico, California",39.74,-121.835556,False,Maiduan,maid1262,Maidu,Nc12,,songs of ceremonial dances,Amanda Wilson,female,voice,,,True,minor,,,104,1.0,2/4|3/4|3/8,,Frances Densmore,1937-03,,,densmore1958maidu,book,Music of the Maidu Indians of California,Frances Densmore,1958,22,10,,,https://babel.hathitrust.org/cgi/pt?id=wu.89058380726&seq=38,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Song_of_the_Grasshopper_Dance.krn,kern,,4144a81168e94ab7f687ed861c95d3e4,https://github.com/shanahdt/densmore/blob/master/Densmore/maidu/None.krn,,False,True,,"{""file.SUPERFUNCTION"": [""ceremonial"", ""dance""], ""file.SOCIAL_FUNCTION"": ""songs of ceremonial dances"", ""file.REG"": ""Northern California"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Penutian"", ""meta.record_num"": 12, ""meta.singers_num"": 6, ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": NaN}",,,"The tonality of this melody is not clear, but it is transcribed as nearly as possible. The tone transcribed as C sharp was often sung above the indicated pitch, and the tone transcribed as E was not clear in its intonation; but both D sharp and A were given clearly. It is a peculiar melody with a graceful rhythm and many descending phrases. Two renditions were recorded and are alike in the essentials of rhythm and melody.",,meta.free_translation
