id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
menominee001,densmore-menominee,0.0.1,Song of Mudjikikwawis,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,104,1.0,3/4|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,29,1.0,,1517,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=67,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Song_of_Mudjikikwawis.krn,kern,,5631821ab0470ecfacbcb2d260233a6f,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": NaN}",,,,,
menominee002,densmore-menominee,0.0.1,Song of Osawapunoke,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,112,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,29,2.0,,1518,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=67,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_Song_of_Osawapunoke.krn,kern,,d4c0c281474be9763f45bd6349caa987,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""112"", ""meta.bpm_drum"": NaN}",,,,,
menominee003,densmore-menominee,0.0.1,Song of Kesigokiu,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,108,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,30,3.0,,1519,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=68,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_of_Kesigokiu.krn,kern,,f8ac778eed62fccdeb38166e94607acd,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""108"", ""meta.bpm_drum"": NaN}",,,,,
menominee004,densmore-menominee,0.0.1,Song of Wapunomitawe,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,116,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,30,4.0,,1520,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=68,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_of_Wapunomitawe.krn,kern,,d53a188065a24759e19be51ac01d0bc0,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""116"", ""meta.bpm_drum"": NaN}",,,,,
menominee005,densmore-menominee,0.0.1,Song Received from the Spirit Women,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Katherine Laughrey (Ca'wûno'mĭta'we),female,voice,False,False,True,,,,72,1.0,3/4|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,32,5.0,,1635,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=70,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_Received_from_the_Spirit_Women.krn,kern,,ecdd964c9725aecdbe49114072ae24d3,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""72"", ""meta.bpm_drum"": NaN}",,,,,
menominee006,densmore-menominee,0.0.1,A Spirit Woman Gives a Name,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,John Ca'wûnĭ'pĭnas' (A'djiki),male,voice,False,False,True,,,,69,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,35,6.0,,1584,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=73,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_A_Spirit_Woman_Gives_a_Name.krn,kern,,4d26964d3d80eb3a01f0f7cfa465cf99,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""69"", ""meta.bpm_drum"": NaN}",,,,,Kakikcasin names me; the spirits
menominee007,densmore-menominee,0.0.1,Song with Lacrosse Game,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,92,1.0,3/4|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,40,7.0,,1539,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=78,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Song_with_Lacrosse_Game.krn,kern,,6ca2e3279dc4ee67a88a78a2f4914e1a,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""92"", ""meta.bpm_drum"": NaN}",,,,,
menominee008,densmore-menominee,0.0.1,I Paint My Face Red,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,John Ca'wûnĭ'pĭnas' (A'djiki),male,voice,False,False,True,,,,104,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,44,8.0,,1585,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=82,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_I_Paint_My_Face_Red.krn,kern,,d90d1557302f107f45eb222329cfd8c2,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": NaN}",,,,,
menominee009,densmore-menominee,0.0.1,The East God Gave Us this Dance,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,James We'ke (Inä'miki'se),male,voice|drum,True,True,True,,,,224,0.5,5/8|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,45,9.0,,1622,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=83,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_The_East_God_Gave_Us_this_Dance.krn,kern,,928eb97c07267ad4dad272643c749376,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""224"", ""meta.bpm_drum"": 112.0}","Drum rhythm: continuous eigth-notes, accented on every other note (i.e., every quarter)",,,,The east god (sun) who moves across the sky in a day gave this dance to an Indian in a dream
menominee010,densmore-menominee,0.0.1,Song to the East God,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Peter Fish (We'sawa'nakwût),male,voice|drum,True,True,True,,,,104,1.0,3/4|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,46,10.0,,1610,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=84,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Song_to_the_East_God.krn,kern,,f25c07a343f523fc3a57ee50be1f2d5f,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": 104.0}",Drum rhythm: continuous eigth-notes,,,,"East god (sun), you are the greatest god"
menominee011,densmore-menominee,0.0.1,Song in Honor of the Drum,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,126,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,47,11.0,,1524,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=85,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_11_Song_in_Honor_of_the_Drum.krn,kern,,8066bf527c43bb8ad72353d9fb21b199,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""126"", ""meta.bpm_drum"": NaN}",,,,,
menominee012,densmore-menominee,0.0.1,Song for the Person to be Adopted,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Louis Pigeon (Tcik'wa),male,voice,False,False,True,,,,120,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,47,12.0,,1516,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=85,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_12_Song_for_the_Person_to_be_Adopted.krn,kern,,5aad51dc823508e39924912469fe6bf0,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""120"", ""meta.bpm_drum"": NaN}",,,,,
menominee013,densmore-menominee,0.0.1,Dancing Song from the East God (a),,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Peter Fish (We'sawa'nakwût),male,voice,False,False,True,,,,108,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,48,13.0,,1611,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=86,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_13_Dancing_Song_from_the_East_God_(a).krn,kern,,1521d6dbb4ac18948827c9624b29aba6,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""106"", ""meta.bpm_drum"": NaN}",,,,,
menominee014,densmore-menominee,0.0.1,Dancing Song from the East God (b),,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Peter Fish (We'sawa'nakwût),male,voice,False,False,True,,,,116,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,49,14.0,,1612,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=87,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_14_Dancing_Song_from_the_East_God_(b).krn,kern,,0ce98bd17b03c8e83e8422c2ae2c3d75,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""116"", ""meta.bpm_drum"": NaN}",,,,,
menominee015,densmore-menominee,0.0.1,Dancing Song from the East God (c),,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Pamä'pomĭ,male,voice|drum,True,True,True,,,,120,1.0,2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,49,15.0,,1637,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=87,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_15_Dancing_Song_from_the_East_God_(c).krn,kern,,ae3cafebaff5b497634cf68244e76965,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""120"", ""meta.bpm_drum"": 120.0}",Drum rhythm: continuous eigth-notes,,,,
menominee016,densmore-menominee,0.0.1,Dancing Song from the East God (d),,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Pamä'pomĭ,male,voice|drum,True,True,True,,,,120,1.0,3/8|3/4|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,50,16.0,,1638,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=88,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_16_Dancing_Song_from_the_East_God_(d).krn,kern,,c4e7b4d71846dff60652dd76e9ebab54,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""120"", ""meta.bpm_drum"": 120.0}",Drum rhythm: continuous eigth-notes,,,,
menominee017,densmore-menominee,0.0.1,In Four Days,,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,Agnes Sullivan (Ke'sigo'kiü),female,voice|drum,True,True,True,,,,100,1.0,3/4|5/8|2/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,51,17.0,,1628,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=89,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_17_In_Four_Days.krn,kern,,0b70969c7e1520302d10bcc0f34002c8,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""100"", ""meta.bpm_drum"": 100.0}",Drum rhythm: continuous eigth-notes,,,,I will be alive only four days
menominee018,densmore-menominee,0.0.1,Dancing Song from the South God (a),,"Menominee County, Wisconsin, U.S.A.",45.02,-88.7,False,Menominee,meno1252,Menominee,Nf9,,game|ceremonial,David Amab (Wa'nĭskûm),male,voice,False,False,True,,,,80|126,1.0,2/4|3/4,,Frances Densmore,,1925,1929,densmore1932menominee,book,Menominee Music,Frances Densmore,1932,53,18.0,,1573,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024872874&seq=91,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_18_Dancing_Song_from_the_South_God_(a).krn,kern,,58f5680c0e1d1361c520d4d375ed7bc2,https://github.com/shanahdt/densmore/blob/master/Densmore/menominee/None.krn,,False,True,,"{""file.SOCIAL_FUNCTION"": ""songs of games played in a ceremonial manner"", ""file.REG"": ""Wisconsin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Algonquin"", ""meta.bpm_voice"": ""80|126"", ""meta.bpm_drum"": NaN}",,,,,
