id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
nootka001,densmore-nootka,0.0.1,Song Conserning the Whale Which Could Not Be Eaten,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,legends,James Guy,male,voice|drum,True,True,True,irregular,,,88|132,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,54,1,,1377,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=106,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Song_Conserning_the_Whale_Which_Could_Not_Be_Eaten.krn,kern,,ae1bcb97b1c69c9ec476e158885b5035,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""88|132"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""legends"", ""file.SOCIAL_FUNCTION"": ""songs with legends of whaling"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,The oil of this whale is red because the little bird has made it so.
nootka002,densmore-nootka,0.0.1,Song Concerning the Eatable Whale,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,legends,James Guy,male,voice|drum,True,True,True,irregular,,,132,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,56,2,,1378,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=108,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__2_Song_Concerning_the_Eatable_Whale.krn,kern,,18427502f3c9dd62be11db5ec7591095,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""132"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""legends"", ""file.SOCIAL_FUNCTION"": ""songs with legends of whaling"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,We got this whale because the little bird was not at home
nootka003,densmore-nootka,0.0.1,Song of the Married Man Who Became a Whaler,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,legends,James Guy,male,voice|drum,True,True,True,,,,54,1.0,3/4|2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,59,3,,1379,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=111,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_of_the_Married_Man_Who_Became_a_Whaler.krn,kern,,2e300defdb18100014699eb5f59fa1c6,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""54"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""legends"", ""file.SOCIAL_FUNCTION"": ""songs with legends of whaling"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,"Go into that bay, that is the path (meaning the landing place of the canoe)"
nootka004,densmore-nootka,0.0.1,Song to Make a Wounded Whale Swim Toward Shore,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,legends,Young Doctor,male,voice,False,False,True,,,,58,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,60,4,,1352,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=112,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_to_Make_a_Wounded_Whale_Swim_Toward_Shore.krn,kern,,33865a65c53f7c4a9800898c3370832f,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""58"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""legends"", ""file.SOCIAL_FUNCTION"": ""songs with legends of whaling"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,"Use your other flipper.
Paddle toward our home."
nootka005,densmore-nootka,0.0.1,Song of Gathering at Which Fin Was Displayed,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial,James Guy,male,voice,False,False,True,irregular,,,66,1.0,3/4|2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,65,5,,1380,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=117,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_of_Gathering_at_Which_Fin_Was_Displayed.krn,kern,,8024f43322b47ff46a98bea87ae09c68,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""66"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""ceremonial"", ""file.SOCIAL_FUNCTION"": ""songs with feast for whale fin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,"I come in,
I am rolling (not walking) but I am a man"
nootka006,densmore-nootka,0.0.1,"""I Come to the Land""",,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial,James Guy,male,voice,False,False,True,irregular,,,76,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,65,6,,1381,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=117,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No_6_""I_Come_to_the_Land"".krn",kern,,5a4c437996a3ef211ecbb85bba742d1c,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""76"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""ceremonial"", ""file.SOCIAL_FUNCTION"": ""songs with feast for whale fin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,"Here I come from way out, to the land,
To visit as many places as I can."
nootka007,densmore-nootka,0.0.1,A Whale Returns,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial,James Guy,male,voice,False,False,True,irregular,,,54,1.0,3/4|2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,66,7,,1382,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=118,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__7_A_Whale_Returns.krn,kern,,eae2c658a4a904d17bbed5648a33f626,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""54"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": ""ceremonial"", ""file.SOCIAL_FUNCTION"": ""songs with feast for whale fin"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,I am coming back to be caught again
nootka008,densmore-nootka,0.0.1,Song of a Whale,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Wilson Parker,male,voice,False,False,True,,,,80,1.0,3/4|2/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,68,8,,1427,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=120,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_Song_of_a_Whale.krn,kern,,411cd720594c475cc7a374df770db90d,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""80"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""oil potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",,,,,"I have come to see how your house is,
Is it prepared for large crowds?"
nootka009,densmore-nootka,0.0.1,Song of the Oil Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Wilson Parker,male,voice|drum,True,True,True,,,,76,1.0,2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,70,9,,1425,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=122,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_of_the_Oil_Potlatch.krn,kern,,dca8f7d916dacbfece5a451dda9f5e96,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""76"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""oil potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}","""Drum in very rapid beats""",,,,Here I have come to the place where people live
nootka010,densmore-nootka,0.0.1,Dance Song of the Young Women,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,ceremonial|harvest,Wilson Parker,male,voice|drum,True,True,True,,,,76,1.0,4/4|2/4|3/4,,Frances Densmore,,1923,1926,densmore1939nootka,book,Nootka and Quileute Music,Frances Densmore,1939,71,10,,1426,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=123,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Dance_Song_of_the_Young_Women.krn,kern,,3597cdf95d08cd9c6d0a324c9ea3543f,https://github.com/shanahdt/densmore/blob/master/Densmore/nootka/None.krn,,True,True,,"{""meta.bpm_voice"": ""76"", ""meta.bpm_drum"": NaN, ""file.SUPERFUNCTION"": [""ceremonial"", ""harvest""], ""file.SOCIAL_FUNCTION"": ""oil potlatch songs"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Wakashan"", ""file.REG"": ""Pacific Northwest""}",Drum rhythm: continous quarters,,,,
