id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
ute001,densmore-northern-ute,0.0.1,The Dust of the Red Wagon,,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Little Jim (To'pātšuk),male,,,,True,G minor,,,95,1.0,2/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,58.0,1.0,,758,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA58.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_The_Dust_of_the_Red_Wagon.krn,kern,,74ea29183531977678c53a348be4ff3c,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 1.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": NaN, ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""95"", ""meta.bpm_drum"": NaN, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","Instrumentation is unclear: Densmore writes ""Morache not recorded""|Lyrics in the publication",,"This melody comprises six rhythmic periods, the first four containing two measures each and the last two containing three measures each. The final measure in every period contains two eighth notes followed by a quarter note. This phrase is sung on the lowest tone in the period which, with its frequent recurrence, gives the phrase a certain emphasis. Noting the tones on which this occurs we find them to be G, F, G, F, G, G. The tones in the first, third, fifth, and sixth periods are those of the triad of G minor, and the song is analyzed in that key. The melody progresses chiefly by thirds, 63 per cent of the intervals being minor and 22 per cent major thirds.",,
ute002,densmore-northern-ute,0.0.1,Yellow Hair,,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd62,NT19,dance|animal,Nikoree (Nikavari),,voice|morache,True,True,True,G minor,,,200|152,1.0,3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,59.0,2.0,,784,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA59.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_Yellow_Hair.krn,kern,,24c8e87ddf762c6a3796cc5573f23d2e,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 2.0, ""meta.performer_band"": ""Uncompahgre"", ""meta.performer_age_group"": ""old"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""200"", ""meta.bpm_drum"": 152.0, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",Lyrics are transcribed in the publication,,"This song is characterized by a monotonous rhythm and a lack of variety in melodic progression. Other songs containing the same characteristics are Nos. 3, 4, 6, 10, 15, and 16 in the Bear dance songs, and a majority of the hand game songs, Nos. 94-102. This rhythmic and melodic peculiarity suggests a vocal expression scarcely developed to the point of composed song. We find in it a resem blance to the rhythmic vocalization which accompanies concerted labor among peoples low in the scale of culture. In a majority of the songs cited the principal interval is the minor (or nonmajor) third, which characterizes the most primitive vocal expression of uncivilized peoples. (See Bull. 53, p. 7.) This interval is prominent also in the early music of civilization. The tone material of this song comprises a fundamental (G), with its minor third and minor seventh—a tone material not previously noted by the writer. For convenience the song is analyzed as in the key of G minor, though it can scarcely be said to constitute a key in the accepted sense of that term.
The rhythm of the notched-stick rattle is simple and does not vary in the songs recorded with its accompaniment. The rubbing stick is thrust downward upon the notched stick, producing a sharp, rasping sound, and as it is brought upward, preparatory to the next stroke, there is a similar but less pronounced sound, the downward stroke occupying a period of time slightly longer than that required for returning the rubbing stick to its original position. The sound pro duced by the upward motion varied with individuals, those who used he rattle with special energy producing, of course, a louder sound with the upward motion of the rubbing stick. The song under analysis is the only recorded Bear dance song in which the rattle and voice are not synchronous at the beginning of each count. In this song the tempo of the rattle is slightly slower than that of the voice.",,
ute003,densmore-northern-ute,0.0.1,Dance Faster,,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,,NT19,dance|animal,Fred Mart,male,voice|morache,True,True,True,C major,,,104,1.0,2/4|3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,61.0,3.0,,772,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA61.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Dance_Faster.krn,kern,,df3cd605e07e67e7dff94702e190c1dd,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 3.0, ""meta.performer_band"": NaN, ""meta.performer_age_group"": ""young"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": 104.0, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",Lyrics are partially transcribed in the publication,,"This song, in contrast to that next preceding, is char acterized by the interval of the major third, which constitutes 52 per cent of the intervals. Next in frequency is the interval of a fourth, constituting 27 per cent of the entire number. The rhythmic unit is short and occurs in both double and triple measures. Count- divisions similar to those in the rhythmic unit appear throughout the song. The melody tones are those of the major triad and fourth. The low G at the close of the song was given with distinctness, though it seemed to be below the natural compass of the singer's voice. No variation occurred in the four renditions of this melody. The interval of a fourth characterizes this song and is also prominent in Nos. 7, 11, 16, 20, 50, 88, 90, and 100. A monotonous rhythm somewhat resembling that of the present song is noted also in Nos. 4, 6, 10, 15, 16, 42, 98, and 101. This peculiarity was not found in songs of the Chippewa and Sioux.",,
ute004,densmore-northern-ute,0.0.1,Song of Nu'šina,,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,,NT19,dance|animal,Fred Mart,male,voice,,,True,D major,,,126,1.0,3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,62.0,4.0,,773,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA62.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_of_Nu'šina.krn,kern,,4365973ab108a042f8935ff400fcf372,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 3.0, ""meta.performer_band"": NaN, ""meta.performer_age_group"": ""young"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""126"", ""meta.bpm_drum"": NaN, ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan"", ""file.SOCIAL_FUNCTION"": ""songs of the bear dance""}","""morache not recorded""",,"Two renditions of this song were recorded and are uniform in every respect. This is interesting, as the rhythmic unit is long and the measure-divisions monotonous. In numerous Ute songs there occurs a connective phrase, sung between renditions of the melody. In some instances a connective tone is sung midway of the ascent from the final tone of the song to that with which the repetition begins. In this instance the connective tone is on the same pitch as the lowest tone of the melody. A wide variety of intervals occurs in the song, a peculiarity which was noted in the more modern Sioux songs. Thus we find five sorts of ascending and four of descending intervals, while in the song next preceding, which was mistaken for an old song, almost 80 per cent of the intervals were fourths and major thirds. This song is melodic in structure and contains the tones of the fourth five-toned scale.",,
ute005,densmore-northern-ute,0.0.1,Bear Dance Song (a),,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Isaacs (Magwitšint),,voice,,,True,B flat major,,,104,1.0,2/4|2/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,63.0,5.0,,690,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA63.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Bear_Dance_Song_(a).krn,kern,,5c75faebe792e51bf0edcf5b5418243b,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 4.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": ""middle"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": NaN, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","""morache not recorded""",,"The somewhat monotonous rhythm of this song is varied only by a triple measure near the close. The melody tones are those of the fourth five-toned scale, and the ascending and descending intervals are about equal in number. Major and minor thirds constitute 89 per cent of the intervals, though the fourth is prominent in a portion of the melody. Five renditions were recorded and show no variations.",,
ute006,densmore-northern-ute,0.0.1,Bear Dance Song (b),,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Isaacs (Magwitšint),,voice,,,True,G flat major,,,76,1.0,2/4|3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,63.0,6.0,,691,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA63.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_Bear_Dance_Song_(b).krn,kern,,284b949cee2e978c8af39e721ebfa6bb,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 4.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": ""middle"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""76"", ""meta.bpm_drum"": NaN, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","""morache not recorded""",,"This song is harmonic in structure, containing only the tones of the major triad and the fourth, which is always raised a semitone. The rapid phrases in which this tone occurs were given without variation in the four renditions of the song. In tonality the song is major, and 57 per cent of the intervals are major thirds. The rhythmic form of the song is interesting and clear, with four occur rences of the rhythmic unit.",,
ute007,densmore-northern-ute,0.0.1,Bear Dance Song (c),,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Isaacs (Magwitšint),,voice,,,True,A major,,,104,1.0,2/4|3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,64.0,7.0,,692,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA64.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Bear_Dance_Song_(c).krn,kern,,81fa3c64944511edfc09ce3ac1707fea,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 4.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": ""middle"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": NaN, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","""morache not recorded""",,"In the renditions of this melody we have an example of the ""connective phrase"" found in Ute music and not in that of the Chippewa and Sioux previously analyzed by the writer. Similar phrases are transcribed in songs Nos. 39 (duplication), 41, 46, 70, 72, 84, 85, 86, 89, 91, 92, and 93. A connective tone has been mentioned in the analysis of No. 4. This connective phrase was sung slightly rubato in its two final measures and occurs between all the six renditions of the song. It can not be considered an introductory phrase, as the singer began with the first measure of the melody as transcribed. Among the Chippewa and Sioux it was not unusual to find an introductory phrase, which was sung before the first rendition of the song and omitted in all the subsequent renditions.
The rhythm of this song is clear and forceful, the two units being distinctly given. Thirty-eight progressions occur in the song, all but two of which are fourths and major thirds. (See No. 3.) The melody tones are those of the major triad and second.",,
ute008,densmore-northern-ute,0.0.1,Bear Dance Song (d),,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Clark Tonner (So'nawav),,voice|morache,True,True,True,B flat major,,,104,1.0,2/4|3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,65.0,8.0,,763,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA65.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_Bear_Dance_Song_(d).krn,kern,,dab2f23eed35f36aa5ab9f82c3107834,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 5.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": ""middle"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""104"", ""meta.bpm_drum"": 104.0, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",,,"A peculiarity of this song is the rest during which, in the four renditions of the song, the voice was silent while the scraping of the rattle continued in exact tune. Two rhythmic units occur, and count-divisions similar to those of the units appear throughout the melody. About half the progressions are whole and half tones, which is unusual. The melody contains all the tones of the octave except the sixth and seventh. The descending intervals of a fourth were sung glissando in this as in numerous other songs of the Bear dance. This glissando was said to ""imitate the sound made by a bear."" Other songs containing rests are Nos. 11, 19, 27, 41, 46, 48, 68, 77, 95, 96, and 97.",,
ute009,densmore-northern-ute,0.0.1,Bear Dance Song (e),,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Clark Tonner (So'nawav),,voice|morache,True,True,True,C minor,,,108,1.0,2/4|3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,66.0,9.0,,764,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA66.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Bear_Dance_Song_(e).krn,kern,,6b5b4e176fb1860c9007531557dd85dd,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 5.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": ""middle"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""108"", ""meta.bpm_drum"": 108.0, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",Ute lyrics not recorded,,"The tone material of this song comprises a fundamental with its minor third, fourth, and minor seventh. Progression is chiefly by thirds, which constitute 86 per cent of the intervals. The song contains four rhythmic periods and four closing measures. This form is accurately repeated in the three renditions of the song. Rattle and voice have the same tempo and were synchronous on the first of each count.",,As the sun comes up it raises a dust.
ute010,densmore-northern-ute,0.0.1,Bear Dance Song (f),,"Whiterocks, Utah",40.4675,-109.929722,False,Ute,utee1244,Ute,Nd58,NT19,dance|animal,Clark Tonner (So'nawav),,voice|morache,True,True,True,C minor,,,58,1.0,2/4|3/4,,Frances Densmore,,1914,1916,densmore1922ute,book,Northern Ute Music,Frances Densmore,1922,67.0,10.0,,765,https://books.google.nl/books?id=fEhAAAAAYAAJ&hl=nl&pg=PA67.0,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Bear_Dance_Song_(f).krn,kern,,86bd72bef74f6fb17004c6dfd01f5441,https://github.com/shanahdt/densmore/blob/master/Densmore/northern_ute/None.krn,,True,True,,"{""meta.singer_num"": 5.0, ""meta.performer_band"": ""White River and Uinta"", ""meta.performer_age_group"": ""middle"", ""meta.genre"": ""bear dance"", ""meta.bpm_voice"": ""58"", ""meta.bpm_drum"": 58.0, ""file.SOCIAL_FUNCTION"": ""songs of the bear dance"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",,,"All the tones of the octave occur hi this song, which is minor in tonality and melodic in structure. The opening tone is the seventh, followed by a descending fourth sung glissando. This is an unusual opening but is uniform in the four renditions of the song. About 65 per cent of the progressions are thirds, though the fourth is prominent in the first part of the song. The rhythmic unit is short and in itself uninteresting, but the triple measures give variety and character to the rhythm of the song as a whole. The tempo of the song is unusually slow.",,
