id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
ojibwa01,densmore-ojibway,My pipe,,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Main'ans (""Little wolf"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,35,6,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA35,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the first or second degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa01.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa01.krn,data/ojibwa01.krn,kern,9981076b3f8ab5403e40c6a6e0d7540f
ojibwa02,densmore-ojibway,First song of the feast,,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ki'tcimak'wa (""Big Bear"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,49,14,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA49,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the first or second degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa02.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa02.krn,data/ojibwa02.krn,kern,e6b61bf2543fd1decdc0ced52cb43441
ojibwa03,densmore-ojibway,First song,,"recorded in Washington, D.C., but the singer lived on the Bois Fort reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"De'bwawen'dunk (""Eating noisily"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,56,16,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA56,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the sixth degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa03.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa03.krn,data/ojibwa03.krn,kern,522e9adc862170a6d948856e25d2f808
ojibwa04,densmore-ojibway,Third song,,"recorded in Washington, D.C., but the singer lived on the Bois Fort reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"De'bwawen'dunk (""Eating noisily"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,58,18,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA58,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the sixth degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa04.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa04.krn,data/ojibwa04.krn,kern,476aae6dc0490c98e9950440ec3de22c
ojibwa05,densmore-ojibway,Initiation song,,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Main'ans (""Little wolf"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,81,63,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA81,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) ceremonial song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa05.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa05.krn,data/ojibwa05.krn,kern,c57b49ad398ed3ba6baaabaf15da9b57
ojibwa06,densmore-ojibway,Initiation song,,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ki'tcimak'wa (""Big Bear"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,81-82,64,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA81-82,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) ceremonial song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa06.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa06.krn,data/ojibwa06.krn,kern,d89b02205b43d15aa10fbd8eb4352251
ojibwa07,densmore-ojibway,Hunting song (c),,"an Ojibway reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Be'cigwi'wizans (""Striped boy"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,84,67,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA84,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) song to insure success,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa07.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa07.krn,data/ojibwa07.krn,kern,5882070d479d6582f164992d8a6e93d2
ojibwa08,densmore-ojibway,Healing song,,"Leech Lake reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ge'miwunac' (""Bird that flies through the rain"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,95-96,80,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA95-96,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) song connected with the cure of the sick,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa08.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa08.krn,data/ojibwa08.krn,kern,53735873d79e6683b33e2fa81f8d7f91
ojibwa09,densmore-ojibway,Song of the thunders,,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ga'gandac' (""One whose sails are driven by the wind"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,127,113,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA127,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Dream song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa09.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa09.krn,data/ojibwa09.krn,kern,411b11e96eb9027ac4ad0ad11b94f20e
ojibwa10,densmore-ojibway,As the hawk soars,,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ga'gandac' (""One whose sails are driven by the wind"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,131,116,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA131,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Dream song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa10.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa10.krn,data/ojibwa10.krn,kern,6b9b7fe933b20682c4b2b96684c57ec5
ojibwa11,densmore-ojibway,(no words),,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Aki'waizi' (""Old man"")","Chippewa [i.e., Ojibway] Music, Bulletin 45 of the Bureau of American Ethnology, Smitsonian Institution",densmore1910chippewa,,,,,138,122,,,https://books.google.com/books?id=_ARNAQAAMAAJ&pg=PA138,Paul von Hippel,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,War song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/ojibwa11.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/data/ojibwa11.krn,data/ojibwa11.krn,kern,2210af21b565d89bf7c09a250c656e12
