id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
papago001,densmore-papago,0.0.1,Song of Coyote After the Flood,,"Sells, Arizona, U.S.A.",32.326,-112.043,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Jose Manuel,male,voice,False,False,True,,,,160,0.5,3/8|2/8,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,18,1.0,,1000,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=54,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Song_of_Coyote_After_the_Flood.krn,kern,,2c1546e38072f0fd326e5abc0535d53f,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 1000.0, ""meta.bpm"": 160.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",,,,,"I can not walk, I am dragging along, I cried, Ah, Ah!"
papago002,densmore-papago,0.0.1,Song of Elder Brother After the Flood,,"Sells, Arizona, U.S.A.",32.326,-112.043,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Jose Manuel,male,voice,False,False,True,,,,84,1.0,2/4|3/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,19,2.0,,1001,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=55,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_Song_of_Elder_Brother_After_the_Flood.krn,kern,,861f2d1fa1e43256c60677f93972b7db,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 1001.0, ""meta.bpm"": 84.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}",,,,,"Black refuge where I dwell.
I am going forth with it.
I am there."
papago003,densmore-papago,0.0.1,Song of Elder Brother After He Had Created the Spirits,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,,,,66,1.0,2/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,20,3.0,,996,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=56,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_of_Elder_Brother_After_He_Had_Created_the_Spirits.krn,kern,,69db1e0ca3f738786b44cf6509849c8f,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 996.0, ""meta.bpm"": 66.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,"I have created you here, I have created you here
The red evening I bring to you"
papago004,densmore-papago,0.0.1,Song of Elder Brother After He Had Created the Wind and Clouds,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,,,,100,1.0,3/4|2/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,20,4.0,,997,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=56,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_of_Elder_Brother_After_He_Had_Created_the_Wind_and_Clouds.krn,kern,,d0f020901f7a49f5238ff6746c95eb2e,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 997.0, ""meta.bpm"": 100.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,"I suffered to the bottom of my heart but at last I created a great deal of wind and at last I created many clouds, so now I am singing for joy."
papago005,densmore-papago,0.0.1,Song of Earth Magician when Disappearing in the Ground,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Jose Hendricks,male,voice,False,False,True,,,,92,1.0,2/4|3/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,21,5.0,,1035,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=57,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_of_Earth_Magician_when_Disappearing_in_the_Ground.krn,kern,,3ea15cb9ad9f574effc4fafa9fe8fe2b,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 1035.0, ""meta.bpm"": 92.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,"Here I sink, and I know all sorts of things"
papago006,densmore-papago,0.0.1,Song of Brown Buzzard After Killing Elder Brother,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,,,,69,1.0,2/4|3/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,22,6.0,,988,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=58,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_Song_of_Brown_Buzzard_After_Killing_Elder_Brother.krn,kern,,c448c615cd947845c46bf505c7bd8581,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 988.0, ""meta.bpm"": 69.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,"I have done the worst thing now in killing you, my brother, but I am going to leave your wind and your clouds"
papago007,densmore-papago,0.0.1,Song of Elder Brother After Returning to Life,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,,,,76,1.0,2/4|3/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,22,7.0,,980,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=58,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Song_of_Elder_Brother_After_Returning_to_Life.krn,kern,,a070bc827667a8440175f5bb50c0fad9,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 980.0, ""meta.bpm"": 76.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,"There is an old man sitting down and fixing his vaäko (canteen), fixing his vaäko"
papago008,densmore-papago,0.0.1,Song Concerning the Talking Tree,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,irregular,,,80,1.0,2/4|3/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,23,8.0,,991,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=59,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_Song_Concerning_the_Talking_Tree.krn,kern,,832866d28417274f0a51c3126cead1dd,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 991.0, ""meta.bpm"": 80.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,
papago009,densmore-papago,0.0.1,Song Before Emerging from Ashes Hill,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,,,,72,1.0,2/4|3/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,24,9.0,,981,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=60,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_Before_Emerging_from_Ashes_Hill.krn,kern,,4e7c49153f8762819afb5aab3c566af3,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 981.0, ""meta.bpm"": 72.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,Now we are going to look over the world and see what is going on
papago010,densmore-papago,0.0.1,Song After Emerging from Ashes Hill,,"Vamori, Arizona, U.S.A.",31.721,-111.905,False,Tohono O'odam,toho1246,Tohono Oʼodham,,WNAI146,legends,Mattias Hendricks,male,voice,False,False,True,,,,80,1.0,3/4|2/4,,Frances Densmore,,1920,1921,densmore1929papago,book,Papago Music,Frances Densmore,1929,25,10.0,,982,https://babel.hathitrust.org/cgi/pt?id=mdp.39015010760851&seq=61,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Song_After_Emerging_from_Ashes_Hill.krn,kern,,1dbbfd0dcf80f567a3447e32d83c76ae,https://github.com/shanahdt/densmore/blob/master/Densmore/papago/None.krn,,True,True,,"{""meta.catalogue_num"": 982.0, ""meta.bpm"": 80.0, ""file.SOCIAL_FUNCTION"": ""songs connected with legends"", ""file.REG"": ""Southwest"", ""file.LANG"": ""Non-Tone"", ""file.LING_GROUP"": ""Uto-Aztecan""}","The location is written as ""Vomari"" by Densmore.",,,,"The world we have come into looks so grassy,
We come out to look over the world"
