id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
pawnee01,densmore-pawnee,0.0.1,Song of Morning Star,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Morning star ceremony,Coming Sun,,voice,,,,,,,,,simple triple,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,20,1,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA20,David Huron,"August 31, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.,"Transcribed pitches, durations, and meters are only approximate.","Morning Star Ceremony
A sacred bundle of the Skidi Pawnee was associated with Morning Star
and its ceremony was held in the early spring, having for its object the
securing of good crops in the coming season.  It was the writer's
privilege to see the Morning Star bundle in the house of the woman who
was its keeper, and also to see its contents exposed in the ceremony.
The bundle, in accordance with custom, was hung on the west wall of its
owner's house, and with it were hung four large gourds, symbolizing the
four deities who were the special guardians of Evening Star and also
representing the breasts of the two women in the west, Evening Star and
Moon.
The legend from which the Morning Star ceremony arose was related by
Coming Sun, whose grandfather was a high priest in the Morning Star village
and who received his name by inheritance from this ancestor.  With Coming
Sun's narrative is combined a limited number of details mention by Linton
in ""Sacrifice to the Morning Star by the Skidi Pawnee.""
As already stated, Morning Star ruled in the east and Evening Star in
the west.  All the stars west of the Milky Way were feminine and those to
the east were masculine, but the most powerful were Morning Star and
Evening Star.  Sun was with the former and Moon was a companion of the
latter.  One after another the eastern star came to court the stars in the
west, in order that man might be placed on the earth.  Moon welcomed them
and walked with them toward the west, but as soon as they came in sight of
the village she caused the ground to open so the man fell through and was
killed.  At last Morning Star resolved to go and woo the great Evening Star,
taking his little brother along to carry his pack.  Thus, according to
Coming Sun, a small star always appears near and slightly below the
morning star in the spring, representing the little brother.  Linton,
however, states that Morning Star was accompanied by Sun, who carried a
sacred bundle with a war club.
Ten obstacles were encountered by Morning Star and his companion, the
first five being difficulties of travel, such as sharp flints and sword
grass beneath their feet, and the last five being animals which attached
them, including the mountain lion, wildcat, buffalo, and bear.  All these
were placed in their way by Moon, who thought she could conquer them as
she had conquered the others.  But Morning Star carried a ball encased in
such a manner that when he threw it the casing broke and it became a ball
of fire.  When throwing the ball he sang the following song, which was
said to be one of the principal songs in the ceremony.  Linton states that
Morning Star struck the ground with his war club, closing the cracks made
by Moon for his destruction, and that he sang a song with substantially the
same words recorded by Coming Sun.
The tenth obstacle was not encountered by Morning Star until after he
entered the lodge of Evening Star.  The obstacle was a snake, but he
overcame it, as he had overcome the others, by means of the ball of fire
and the song.
Even Star saw that his power was greater than heres, but she determined
to hold him aloof as long as possible.  Finally, she insisted that he make
provision for the child that should be born; she even required him to
provide perfumed water for bathing the child and a cradle board in which
it should be placed.  On the hoop, or arch, of this cradle board was
painted a morning star and the lightnings, this custom being followed by
the Pawnee at the present time.  Evening Star also required him to plant a
tree in front of the lodge so that the mocking birds might nest there and
sing to the child.  From this union a daughter was born.  She cam down to
earth and wandered about in fear.  As she was running hither and thither she
met a boy, the child of Sun and Moon, and these two became the ancestors of
the human race.
Morning Star made a bundle and placed in it various articles connected
with the obstacles he had overcome on his westward journey.  He left this
bundle with Evening Star and for that reason a woman has always been the
keeper of the sacred bundle.  Other articles have been added from time to
time and will be noted in this paper.
It is said that Evening Star required a human sacrifice as her reward.
This sacrifice must be a pure and beautiful maiden and she demanded that
the sacrifice be repeated annually.  Long ago, Morning Star sometimes
appeared to a man in a dream and told him to secure a maiden for this
sacrifice.  According to Linton, a man who had this vision went to the
keeper of the Morning Star bundle and received the warrior's costume and
the sacred objects kept for such an expedition.  Other warriors joined him
and, preliminary to the expedition, they enacted the journey of the
Morning Star, and sang the song with which he overcame the obstacles placed
in his way. (Cf. Song No. 1)  When the ceremony ended it was almost time
for the Morning Star to rise and the leader went outside the lodge and
addressed an invocation to him.  After dancing furiously around their fire
and offering a last prayer to Morning Star the warriors started forth and
captured a maiden from the enemy.  Returning, they gave her into the care
of the chief of the Morning Star village until the time for her sacrifice.
She was treated in a ceremonial manner but kept in ignorance of her fate.
At the appointed time her body was painted, half red and half black, and
she was tied to a scaffold and shot through the heart with an arrow.  It
was said that the braided thong used to bind the girl to the scaffold is
now in the Morning Star bundle.
Tradition states that on one occasion the intended victim was rescued.
On the night preceding her execution she was seated beside some tall
sunflowers.  A young chief came through the tall weed and stole her away,
putting her on his horse and taking her to Fort Leavenworth, whence she
was returned to her own people.  She died within three months, having
been anointed for death with the sacred ointment of red paint and buffalo
fat.  This occurred about the year 1818.  The man who rescued the intended
victim was a warrior of distinction and through his influence the custom
was discontinued.  The ritual of the sacrifice is still rendered but no
actual sacrifice has taken place since that date.
Coming Sun, who sings the ceremonial songs, said that sometimes, during
the Morning Star ceremony he stops and says ""Listen,"" and the people hear
a woman's voice singing the songs above his head.
The Morning Star ceremony was held by the Skidi Band near Pawnee,
Okla., on April 17, 1920.  This ceremony formerly lasted four days and
nights, ending when the morning star appeared in the east, but at the
present time it is concluded in one day.  On this occasion the writer
had the honor of entering the lodge, through the courtesy of Coming Sun.
It is said that one other white person, Dr. G. A. Dorsey, has entered the
lodge during the ceremony and seen the contents of the sacred bundle.
The ceremony was held in a tipi erected for the occasion in a quiet
spot near the house of the keeper of the bundle, north of Pawnee.  This
tipi has been used in the Ghost dance and was decorated with Ghost dance
symbols.  The adjacent landscape is shown in Plate 3,c.  The ceremony
began at about 9 a.m. and continued until 4 p.m., the writer sitting
outside the tipi except for the brief time she was permitted to enter.
Thus the entire songs of the ceremony were heard, as well as the prayers
and rituals, though only the principal song was obtained.  At the proper
time Coming Sun, who was in charge of the ceremony, sent a message to
summon the writer and she entered the lodge, passing to the right and
standing near the bundle before which she laid gifts of calico, tobacco,
and money.  Coming Sun was seated back of the bundle, directly opposite
the entrance, and held one of the sacred gourd rattles.  Two men at either
side of him held similar rattles.  In front of the men at Coming Sun's
left and next [to] the sacred bundle was a belt decorated 
XXX[page23]",,
pawnee02,densmore-pawnee,0.0.1,The Herd Passes Through the Village,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,25,2,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA25,David Huron,"August 31, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM120|Drum-rhythm: (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.","The ceremony of Painting the Buffalo Skull is held every spring by the
Chaui Band of Pawnee and is in charge of Mr. Stacy Matlock, a prominent
member of that band.  The closing events of the ceremony are the Buffalo
and Lance dances, which were witnessed by the writer through the courtesy
of Mr. Matlock, no other white person being present.  The ceremony and
dances were held in a large earth lodge, several miles south of the town
of Pawnee.  The opening of the lodge was toward the east.  At some
distance was a framework, probably that of a sweat lodge.  Only members
of the Buffalo Society were admitted to the painting of the skull, but
during the Buffalo dance the skull painted a few days previously, lay on
a folded blanket in front of the ""altar"" which was opposite the entrance.
This occasion and the Lance dance held a few days later afforded exceptional
opportunities to listen to Pawnee songs, but the semidarkness of the lodge
and the solemnity of the occasion precluded the taking of notes upon either
the music or the details of the ceremonial dances.
The chief singer at both of these dances was Wicita Blain, a blind man
who received the songs by inheritance.  He led the songs which were sung
at a certain position back of the altar.  At a later time he recorded the
ceremonial songs here presented, also certain songs of the Bear dance,
which is held in equally high esteem by the Pawnee.  John Luwak, chief of
the Chaui Band, was prominent at the Lance dance and later recorded 
numerous songs, including those of the Crow Lance Society.
The following song was led by Mr. Blain at the Buffalo dance attended
by the writer and is a very old song concerning Mrs. Blain's uncle, whose
name was Naru'dapadi.  A great herd of buffalo came to the place where
the Indians were encamped and threatened the destruction of the village.
Her uncle rode toward them, shouting and firing his gun in an attempt to
divert them from their course, but he was caught in the herd.  There were
buffalo on all sides of him as the herd swept through the camp and across
a stream, carrying him with them.",,"['Listen, he said,', 'Now it (the man) sits among them (the buffalo),', 'These are his sayings,', 'Now it sits among them as they come,', 'Now they have passed through the village,', 'Now they have crossed the stream,', 'It flies above them here and there, shouting and calling.']"
pawnee03,densmore-pawnee,0.0.1,The Buffalo and the Crow,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,27,3,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA27,David Huron,"August 31, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM84|Drum-rhythm: (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.",,,"['Listen, he said, yonder it stands,', 'These are his sayings, yonder it stands,', 'Father (buffalo) was startled,', 'The crow was flying and shouting but he was not frightened,', 'He was standing,', 'Father was startled but not frightened.']"
pawnee04,densmore-pawnee,0.0.1,My Dear Father the Buffalo,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo song,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,28,4,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA28,David Huron,"August 31, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM132; changing in fourth measure to MM76|Drum-rhythm: (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.",,,"['Listen, he said,', 'My dear father (the buffalo),', 'This is what I was told about it,', 'He is heavy, he goes on (if he falls he can not rise),', 'My father (the buffalo).']"
pawnee05,densmore-pawnee,0.0.1,Yonder the Smoke Was Standing,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,30,5,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA30,David Huron,"September 1, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM132; changing to 116|Drum-rhythm: (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.",,,"['He said, the man was coming along the line,', 'This is what I was told about it,', 'He was coming along the line,', 'Yonder the smoke was standing here and there,', 'He was coming along the line.']"
pawnee06,densmore-pawnee,0.0.1,The Woman Imitates the Buffalo,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,31,6,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA31,David Huron,"September 1, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM144; changing to MM80|Drum-rhythm: (8 8 8 8 8 8)|First ending:|Second ending:,"Transcribed pitches, durations, and meters are only approximate.",,,"['Listen, he said, yonder she is coming,', 'This is what I was told about it, yonder she is coming,', 'The woman imitates the buffalo, yonder she is coming,', 'She walks, then stops and walks again,', 'Yonder she is coming.']"
pawnee07,densmore-pawnee,0.0.1,The Buffalo Are Coming,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,32,7,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA32,David Huron,"September 1, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM138 changing to 96|Drum-rhythm: (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.","Long ago an old man named Nara'dudesa'ru had a dream
and in his dream he saw a cloud of dust rolling along
the ground.  He sat and looked at the dust a long
time until late in the afternoon.  Then it looked
like a crowd of people, but after the dust storm
had passed he saw a great herd of buffalo.",,"['Listen, he said, yonder the buffalo are coming,', 'These are his sayings, yonder the buffalo are coming,', 'They walk, they stand, they are coming,', 'Yonder the buffalo are coming.']"
pawnee08,densmore-pawnee,0.0.1,The Waves of Dust,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,33,8,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA33,David Huron,"September 1, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM120|Drum-rhythm: (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.","The next song is also concerning a dream of buffalo.
The herd was scattered and a man was watching them.
One of the buffalo lay down.  The man wondered
why the buffalo had lain down.  That night he
dreamed about the buffalo, who said that he had
""taken pitch"" on the man.  The buffalo promised
the man that he would live to old age and be
able to foretell events a long time before
they came to pass.",,"['Listen, he said,', 'There the buffalo are coming in a great herd,', 'These are his sayings,', 'there the buffalo are coming in a great herd,', 'The waves of dust roll downward,', 'There the buffalo are coming in a great herd,', 'They mark the place of the buffalo wallo.']"
pawnee09,densmore-pawnee,0.0.1,Unreal the Buffalo is Standing,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Buffalo dance,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,"tom, voice",,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,35,9,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA35,David Huron,"September 2, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum Tempo:  MM138 changing to MM76|Drum-rhythm:  (8 8 8 8 8 8),"Transcribed pitches, durations, and meters are only approximate.","At a certain point in the Lance dance witnessed
by the writer the decorated lances were carried
around the lodge and the following song was sung.
This constituted one of the most impressive portions
of the ceremony.  The song is very old and belonged
to a woman who had two sons, the song being sung
whenever they danced.  The woman lived to be so
old that she could not stand erect but she
""was always singing this song while she was cooking
or working.""  The words mean ""Father, the band of the
dead is coming.""  The woman who recorded the song
was blind.",,
pawnee10,densmore-pawnee,0.0.1,The Band of the Dead Is Coming,,"Pawnee, Oklahoma, United States of America",,,,,,Pawnee,,,Lance dance,"Tsastawinahiigat [She led a phony into the ceremony, Effie Blain]",,voice,,,,,,,,,irregular,,Frances Densmore,<1920//,,,densmore1929pawnee,book,Pawnee Music,Frances Densmore,1929,36,10,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA36,David Huron,"September 1, 2000",,Electronic Copyright 2000 David Huron,,,,1.0,,,,False,True,,"{""file.COM"": ""Anon."", ""file.AGN"": ""monody"", ""file.TXO"": ""Pawnee"", ""file.OCY"": ""United States"", ""file.YER"": ""September 2000"", ""file.YEN"": ""United States of America""}",Song was recorded either 1919 or 1920.|Drum not recorded.,"Transcribed pitches, durations, and meters are only approximate.","The next song was sung when all the participants
in the Bear dance were seated.  ""Mother"" was said
to refer to the moon, and there was said to be a
similar song containing the word ""Father.""  A young
man received this song in a dream, while mourning
for his parents who had died.  He saw a woman coming
toward him, and said, ""Mother is coming.""  The woman
said, ""You have seen me, now you must learn this song.""
The young man learned the song, lived a long time
afterwards, and took part in the Bear dance.  When
the song is used ceremonially there are six ""stops""
or verses, the general meaning of which is as follows:
1. ""Mother is coming.""
2. The young man, devotional by nature, imagines that he
is still mourning for his parents.
3. ""Mother stands yonder.""
4. The young man says, ""Mother, standing in the sky, I
want you to take pitch on me.""
5. ""Mother now ends"" (stands still).
6. ""I will now say, I mean the mother who alone stands
forever in the sky"" (the moon).",,
