id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
pueblo01,densmore-pueblo,Creation or Beginning Song,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,5,1,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=17,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Creation_or_Beginning_Song.krn,kern,,ba7a1a770110946aba3137a70e5682da,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_1_Creation_or_Beginning_Song.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo02,densmore-pueblo,First Raingod Song,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,6,2,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=18,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_2_First_Raingod_Song.krn,kern,,a6042229e64d1b30685f91e0e0362931,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_2_First_Raingod_Song.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo03,densmore-pueblo,Song When Setting Up Iatiku's Altar,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,6,3,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=18,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_When_Setting_Up_Iatiku's_Altar.krn,kern,,74d69c3cb220989c626e93de0de69b30,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_3_Song_When_Setting_Up_Iatiku's_Altar.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo04,densmore-pueblo,Hunter's Prayer Song,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,8,4,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=20,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Hunter's_Prayer_Song.krn,kern,,56f5eab03f766c6bdaca7570a5112991,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_4_Hunter's_Prayer_Song.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo05,densmore-pueblo,Song to the Wild Animals,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,8,5,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=20,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_to_the_Wild_Animals.krn,kern,,507e4ef2360cbb5bce205928298f8427,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_5_Song_to_the_Wild_Animals.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo06,densmore-pueblo,Song to the Birds,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,9,6,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=21,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_6_Song_to_the_Birds.krn,kern,,e31c38169704aa8c080528582f50e3ef,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_6_Song_to_the_Birds.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo07,densmore-pueblo,Song When Going for a Drink of Medicine,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,10,7,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=22,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_7_Song_When_Going_for_a_Drink_of_Medicine.krn,kern,,3bc65ae1607dda8c1ea6bb7e94770904,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_7_Song_When_Going_for_a_Drink_of_Medicine.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo08,densmore-pueblo,"Kasewat, Matted Hair or Wig Song",,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,11,8,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=23,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No_8_Kasewat,_Matted_Hair_or_Wig_Song.krn",kern,,50441b583abd70e5bcb5c35636884889,"https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_8_Kasewat,_Matted_Hair_or_Wig_Song.krn",,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo09,densmore-pueblo,Song of Brave Man's Dance,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,12,9,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=24,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_of_Brave_Man's_Dance.krn,kern,,268fbec846baa75b69bd22c0f47f3d0f,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_9_Song_of_Brave_Man's_Dance.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
pueblo10,densmore-pueblo,Song of Ouwe Dance,,"Acoma Pueblo, New Mexico, U.S.A.",34.896389,-107.581944,False,Acoma,acom1246,Acoma,,,,Philip Sanches,male,,,,True,,,,,,,,Anthony Wilding and M. W. Stirling,1928,,,densmore1957pueblo,,,,,13,10,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=25,Daniel Shanahan|Eva Shanahan,<2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Song_of_Ouwe_Dance.krn,kern,,493c26c349bf9afd06583820f92a088a,https://github.com/shanahdt/densmore/raw/master/Densmore/acoma/No_10_Song_of_Ouwe_Dance.krn,,False,True,,"{""language_type"": ""Tone"", ""language_family"": ""Keresan"", ""functions"": ""misc""}",,,,,
