id,song_num,page_num,catalogue_num,performer,collector,collection_date,culture,location,longitude,latitude,genre
pueblo01,1,5,1888,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo02,2,6,1889,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo03,3,6,1890,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo04,4,8,1891,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo05,5,8,1892,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo06,6,9,1893,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo07,7,10,1894,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo08,8,11,1895,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo09,9,12,1896,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo10,10,13,1897,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo11,11,14,1898,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo12,12,15,1899,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo13,13,16,1900,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo14,14,17,1901,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo15,15,18,1902,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo16,16,19,1903,Philip Sanches,Anthony Wilding and M. W. Stirling,1928,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo17,17,21,1904,Philip Sanches,Frances Densmore,1930,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo18,18,22,1905,Philip Sanches,Frances Densmore,1930,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo19,19,24,1906,Philip Sanches,Frances Densmore,1930,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,
pueblo20,20,26,1907,Philip Sanches,Frances Densmore,1930,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,Song connected with the treatment of the sick
pueblo21,21,27,1908,Philip Sanches,Frances Densmore,1930,Acoma,"Acoma Pueblo, New Mexico, U.S.A.",-107.581944,34.896389,Song connected with the treatment of the sick
