id,song_num,contour_classes,contour_class_ref_page,key
sioux001,1,,,G minor
sioux002,2,,,C minor
sioux003,3,,,C minor
sioux004,4,,,Eb minor
sioux005,5,C,,B minor
sioux006,6,,,C minor
sioux007,7,C,,E minor
sioux008,8,,,C major
sioux009,9,,,Ab major
sioux010,10,,,E major
sioux011,11,C,,Eb major
sioux012,12,C,,B minor
sioux013,13,C,,F# minor
sioux014,14,,,D major
sioux015,15,C,,D flat major
sioux016,16,,,C# minor
sioux017,17,,,A minor
sioux018,18,,,B minor
sioux019,19,,,D minor
sioux020,20,,,D minor
sioux021,21,,,Bb minor
sioux022,22,,,A major
sioux023,23,,,C minor
sioux024,24,,,Ab major
sioux025,25,,,Gb major
sioux026,26,,,D minor
sioux027,27,,,D major
sioux028,28,,,Eb minor
sioux029,29,,,A major
sioux030,30,A,,D major
sioux031,31,,,A minor
sioux032,32,,,E major
sioux033,33,,,D minor
sioux034,34,,,Bb minor
sioux035,35,E,,B major
sioux036,36,,,A major
sioux037,37,,,A major
sioux038,38,,,B major
sioux039,39,,,Db major
sioux040,40,C,,G# minor
sioux041,41,,,F minor
sioux042,42,C,,Db major
sioux043,43,,,G major
sioux044,44,,,D major
sioux045,45,C,,F# minor
sioux046,46,,,Bb minor
sioux047,47,,,G# minor
sioux048,48,,,Bb major
sioux049,49,D,204,F# minor
sioux050,50,B,,B minor
sioux051,51,B,,A major
sioux052,52,B,,D major
sioux053,53,,,E major
sioux054,54,,,A major
sioux055,55,D,204,F major
sioux056,56,A,204,G minor
sioux057,57,,,D minor
sioux058,58,"C,D",204,C minor
sioux059,59,A',245,B minor
sioux060,60,,,C minor
sioux061,61,,,Gb major
sioux062,62,,,G minor
sioux063,63,,,F major
sioux064,64,B,,Eb major
sioux065,65,,,A major
sioux066,66,D,,B minor
sioux067,67,B,,F minor
sioux068,68,B,245,C major
sioux069,69,,,Bb minor
sioux070,70,"D,A",245,B major
sioux071,71,A',245,G major
sioux072,72,C,,Db minor
sioux073,73,,,Bb minor
sioux074,74,B,245,F# minor
