id,dataset_id,corpus_version,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
deut0567,erk-deutscher-liederhort,0.0.1,Es Freit Ein Wilder Wassermann,,"Germany, Schlesien, Hainau; Liegnitz",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1,1,E0001,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0567.krn,kern,1.0,ad7ba09c3c3f84c77985f38f6b6da606,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0567.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0567.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Schlesien, Hainau; Liegnitz"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0568,erk-deutscher-liederhort,0.0.1,Es Freit Ein Wilder Wassermann,,"Germany, Schlesien, Goldberg, Neukirch",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1a,1,E0001A,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0568.krn,kern,1.0,c9eeb9af8af0459e46dd14be1084f251,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0568.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0568.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Schlesien, Goldberg, Neukirch"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0569,erk-deutscher-liederhort,0.0.1,Es Freit Ein Wilder Wassermann,,"Germany, Schlesien, Niederlausitz",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1b,1,E0001B,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0569.krn,kern,1.0,8f95f59f5e9a5a6daa1cae38806e2746,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0569.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0569.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Schlesien, Niederlausitz"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0570,erk-deutscher-liederhort,0.0.1,Von Gold Liess Er Eine Bruecke Baun,,"Germany, Schlesien, Joachimstal",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple quadruple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1c,1,E0001C,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0570.krn,kern,1.0,a6b002431ed349a0ac3b8dc6033a865d,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0570.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0570.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Schlesien, Joachimstal"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0571,erk-deutscher-liederhort,0.0.1,Es Hatt Ein Baur Ein Toechterlein,,"Germany, Schlesien, Breslau",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1d,1,E0001D,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0571.krn,kern,1.0,a72ce8213d8cc04374a4510ae5e48720,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0571.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0571.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Schlesien, Breslau"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0572,erk-deutscher-liederhort,0.0.1,Es Freit Ein Wilder Wassermann,,"Germany, Uckermark, Granzow",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1e,1,E0001E,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0572.krn,kern,1.0,9a8fafb44a26e606ef4461db3387d82e,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0572.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0572.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Uckermark, Granzow"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0573,erk-deutscher-liederhort,0.0.1,Es War Ein Wilder Wassermann,,"Germany, Hohen - Saten, Oderberg",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1f,1,E0001F,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0573.krn,kern,1.0,6af6346db635c3740659007ddfb507a9,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0573.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0573.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Hohen - Saten, Oderberg"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0574,erk-deutscher-liederhort,0.0.1,Es Freit Ein Wassermann,,"Germany, Niederlausitz, Guben",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple duple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1g,1,E0001G,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0574.krn,kern,1.0,18e3639bd30f01e79b7cf21c72e504b9,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0574.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0574.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Niederlausitz, Guben"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0575,erk-deutscher-liederhort,0.0.1,Es Freit Der Wilde Wassermann,,"Germany, Pommern, Tantow, Rossow",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple quadruple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1h,1,E0001H,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0575.krn,kern,1.0,a92c94e2f31051d2763294939180fe50,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0575.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0575.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Pommern, Tantow, Rossow"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
deut0576,erk-deutscher-liederhort,0.0.1,Es Verliebte Sich Ein Wilder Wassermann,,"Germany, Magdeburg",,,,German,stan1295,German,,,|legend|fairy tale|magic|ballad,,,voice,,,True,,,,,,,simple quadruple,Ludwig Erk,,1807,1883,erk1893liederhort1,,,,,,1i,1,E0001I,,Helmut Schaffrath,1982–1995,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut0576.krn,kern,1.0,c796406bf27b658eaff6c08c1f85f10b,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0576.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0576.krn,False,True,,"{""file.ARE"": ""Europa, Mitteleuropa, Deutschland, Magdeburg"", ""file.ONB"": ""ESAC (Essen Associative Code) Database: ERK1""}",ESAC (Essen Associative Code) Database: ERK1,,,,
