id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
han0001,essen-china-han,Renmin gongshe shizai hao,,"Asia, China, Shanxi, Zizhou",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0002,,Helmut Schaffrath,,,,,data/han0001.krn,kern,1.0,6ced51dfa3105b16a6fb07ef5dbcbeaf,https://verovio.humdrum.org/?file=essen/asia/china/han/han0001.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0001.krn,False,True,,,"00000] TT[00|NN|I, 22, 2)|neue Volkslied. Text eines volkstuemlichen Saengers, dessen Name|am Ende erscheint. Er arbeitete frueher als Arbeiter-Vorsaenger.|Es gibt ein mongolisches Lied mit gleichem Titel auf TB Nr. 20,|Cut 18-19.",,,,
han0002,essen-china-han,Zanmen de ling xiu Mao Zedong,,"Asia, China, Shanxi Nordwesten",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0003,,Helmut Schaffrath,,,,,data/han0002.krn,kern,1.0,6d7ea34140464648dcd4c952dbc6873a,https://verovio.humdrum.org/?file=essen/asia/china/han/han0002.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0002.krn,False,True,,,"00003] TT[TB|NN|I, 50|neues Volkslied. Hauefig waehrend der Kulturrevolution gesungen.|Cut 11b soll eine Variante davon sein. +++ Noch zuzuordnen!!! +++",,,,
han0003,essen-china-han,Tian xin shun,,"Asia, China, Shanxi Yanchang",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0004,,Helmut Schaffrath,,,,,data/han0003.krn,kern,1.0,6700cd2f11ffb14a292a31e5aee5aacd,https://verovio.humdrum.org/?file=essen/asia/china/han/han0003.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0003.krn,False,True,,,"00000] TT[00|NN|I, 40, 1)|Neues Volkslied; sehr bekannt",,,,
han0004,essen-china-han,Liu zhi dan,,"Asia, China, Shanxi Shanbei",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0005,,Helmut Schaffrath,,,,,data/han0004.krn,kern,1.0,44a391e6aec58af33dd183af5e761885,https://verovio.humdrum.org/?file=essen/asia/china/han/han0004.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0004.krn,False,True,,,"00008] TT[TB|MZ 775 ?|I, 40, 2)|neues Volkslied; sehr bekannt. Total verkratzte Schallplatte.|Arrangiert f. Klv. und Oboe. Text mit Mao Zidong.",,,,
han0005,essen-china-han,Zanmen de hongjun shi li zhong,,"Asia, China, Shanxi Shanbei",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0006,,Helmut Schaffrath,,,,,data/han0005.krn,kern,1.0,b8fd53b659333c0e6b659eecfe6f40e2,https://verovio.humdrum.org/?file=essen/asia/china/han/han0005.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0005.krn,False,True,,,"00000] TT[00|NN|I, 42|neues Volkslied|Eine Verzierung.",,,,
han0006,essen-china-han,Yi gan hongqi kongzhong piao,,"Asia, China, Shanxi Shanbei",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0007,,Helmut Schaffrath,,,,,data/han0006.krn,kern,1.0,a36aef39fc5a2c1e018230c4f03d151c,https://verovio.humdrum.org/?file=essen/asia/china/han/han0006.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0006.krn,False,True,,,"00000] TT[00|NN|I, 43, 2)|Eine Verzierung.",,,,
han0007,essen-china-han,"Da nangoucha, Weggabelung)",,"Asia, China, Shanxi Wubao",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0008,,Helmut Schaffrath,,,,,data/han0007.krn,kern,1.0,576249bee8362649b7aed10c69407e5b,https://verovio.humdrum.org/?file=essen/asia/china/han/han0007.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0007.krn,False,True,,,"00000] TT[00|NN|I, 43, 1)|neues Volkslied",,,,
han0008,essen-china-han,Heng shan li xialai xie youji dui,,"Asia, China, Shanxi Shanbei",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0009,,Helmut Schaffrath,,,,,data/han0008.krn,kern,1.0,1fbf46d969c82ff2357691b2f8af9e82,https://verovio.humdrum.org/?file=essen/asia/china/han/han0008.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0008.krn,False,True,,,"00049] TT[KA|NN|I, 44|neues Volkslied.  Verzierungen am Phrasenende.",,,,
han0009,essen-china-han,Wo de gege dangle hongjun,,"Asia, China, Shanxi Suide, Mizhi",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0010,,Helmut Schaffrath,,,,,data/han0009.krn,kern,1.0,5d5fa0029f2fef29962d533222978855,https://verovio.humdrum.org/?file=essen/asia/china/han/han0009.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0009.krn,False,True,,,"00000] TT[00|NN|I, 45, 2)|Neues Volkslied|Eine Verzierung auf letzter Note.",,,,
han0010,essen-china-han,Huaishu kaihua,,"Asia, China, Shanxi Shanbei",,,,,,Han,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0011,,Helmut Schaffrath,,,,,data/han0010.krn,kern,1.0,e293b761b864ce80a226fe620427db49,https://verovio.humdrum.org/?file=essen/asia/china/han/han0010.krn,https://verovio.humdrum.org/?file=essen/asia/china/han/han0010.krn,False,True,,,"00000] TT[00|NN|I, 49|neues Volkslied",,,,
