id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
natmn001,essen-china-natmin,Huai nian,,Heilongjiang,,,,,,Dawoer,,,,,,,,,,,,,,,,irregular,,,,,,,,,,,,,C0090,,Helmut Schaffrath,,,,,data/natmn001.krn,kern,1.0,021e0edc98ac13ff0818a1d6404063c2,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn001.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn001.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 10 (2)|Mixed meters:  4/4; 2/4|Senlin caifa, Yedi dachai, Ganche qima shi chang|Volkeslied von Dawoer sind hnlich|wie Berglied.",,,,
natmn002,essen-china-natmin,Feng shou ge,,"Jilin, Yanbian",,,,,,Chaoxian,,,,,,,,,,,,,,,,compound duple,,,,,,,,,,,,,C0285,,Helmut Schaffrath,,,,,data/natmn002.krn,kern,1.0,893812adcdbd60a7c75d6ed3e576baef,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn002.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn002.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 166|Stil wird ein wenig von Japan beeinflusst.",,,,
natmn003,essen-china-natmin,Ni er lili ya,,"Jilin, Yanbian",,,,,,Chaoxian,,,,,,,,,,,,,,,,simple triple,,,,,,,,,,,,,C0286,,Helmut Schaffrath,,,,,data/natmn003.krn,kern,1.0,08b3b1dee09f5499adc3cd6315b3acde,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn003.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn003.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 167|sehr bekannt. Die meisten sind im 3/4 oder 6/8.",,,,
natmn004,essen-china-natmin,Nongfu ge,,"Jilin, Yanbian",,,,,,Chaoxian,,,,,,,,,,,,,,,,compound duple,,,,,,,,,,,,,C0287,,Helmut Schaffrath,,,,,data/natmn004.krn,kern,1.0,bb45c4aba2851225a6c7e2291f0133cb,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn004.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn004.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 168|trotzdem hat es den Charakter der Tanzform.|Eine Verzierung.",,,,
natmn005,essen-china-natmin,Xiao qing ren,,"Liaoning, Balinyouqi",,,,,,Menggu,,,,,,,,,,,,,,,,simple quadruple,,,,,,,,,,,,,C0294,,Helmut Schaffrath,,,,,data/natmn005.krn,kern,1.0,f208b64800e05dc03ff7ae3c8e6dc5dc,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn005.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn005.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 271|Diese Melodie wurde in einer Komposition von San Tong verwendet.-|Beim Erscheinen des vorl. Bandes zaehlte ein Teil der Neimeng noch|zu Liaoning. Nur deshalb ist das Lied hier untergeordnet.|Wenig Verzierungen.",,,,
natmn006,essen-china-natmin,Jin zhu meimei,,"Liaoning, Kazuo",,,,,,Menggu,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0296,,Helmut Schaffrath,,,,,data/natmn006.krn,kern,1.0,8a2279848004dba6d0c5221e4f43586f,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn006.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn006.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 257|",,,,
natmn007,essen-china-natmin,Da shi hua,,"Shandong, Linqing",,,,,,Hui,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0309,,Helmut Schaffrath,,,,,data/natmn007.krn,kern,1.0,f70ad89cfba6c0e8c0e0db6f3f1c5b0a,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn007.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn007.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 366|prosaisch. Enthaelt viele Witze.",,,,
natmn008,essen-china-natmin,Gongchan dang xiang taiyang,,"Zhejiang, Lishui",,,,,,She,,,,,,,,,,,,,,,,simple duple,,,,,,,,,,,,,C0355,,Helmut Schaffrath,,,,,data/natmn008.krn,kern,1.0,f3b2a01a5ce1c4a849ff2155ac290052,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn008.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn008.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|III, 600|Die She leben auch in Guandung, Fujian und Taiwan.|Sie singen auch zweistimmig: er chong bu.|Vereinzelt Verzierungen.",,,,
natmn009,essen-china-natmin,Gongchan dang laile,,"Guizhou, Taijiang",,,,,,Miao,,,,,,,,,,,,,,,,irregular,,,,,,,,,,,,,C0215,,Helmut Schaffrath,,,,,data/natmn009.krn,kern,1.0,be03d24e1b7a0190547141c548117856,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn009.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn009.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|II, 104|Mixed meters:  2/4; 3/4|sehr freier Rhythmus, starke Verzierungen, glissandi",,,,
natmn010,essen-china-natmin,Tiao yue ge,,"Yunnan, Mile",,,,,,Yi (Axiren),,,,,,,,,,,,,,,,simple quintuple,,,,,,,,,,,,,C0202,,Helmut Schaffrath,,,,,data/natmn010.krn,kern,1.0,7fa64b8b72b3ef9510dc2a8b05e9c2cd,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn010.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn010.krn&l=essen/asia/china/natmin&format=kern,False,True,,,"00000] TT[00|NN|II, 15|3+2 metric grouping|Als Tanzlied wird es mit der Sanxian begleitet, man singt und tanzt|gleichzeitig. im 5/4 wird auf 4+5 geklatscht. Wenig Verzierungen.",,,,
