id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
shanx001,essen-china-shanxi,Tiqi gege zou xikou,,"Asia, China, Shanxi Norden, Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0001,,Helmut Schaffrath,,,,,data/shanx001.krn,kern,1.0,dfbc9da1098c7c9b1c2ffd6e7deecf8a,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx001.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx001.krn,False,True,,,"00000] TT[WS|WI, 1|Mixed meters:  4/8; 3/8",,,,
shanx002,essen-china-shanxi,Yila yiche hao nanhuo,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0002,,Helmut Schaffrath,,,,,data/shanx002.krn,kern,1.0,9bbe4abc8f0600f0027e6ae3e1e21536,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx002.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx002.krn,False,True,,,"00000] TT[WS|WI, 2",,,,
shanx003,essen-china-shanxi,Zheng buxia yinqian guobuliao,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0003,,Helmut Schaffrath,,,,,data/shanx003.krn,kern,1.0,b4c10e7ab42ca1ff178c8b2075deb5d9,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx003.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx003.krn,False,True,,,"00000] TT[WS|WI, 3",,,,
shanx004,essen-china-shanxi,Zheyizao zoule shenhuir jian,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0004,,Helmut Schaffrath,,,,,data/shanx004.krn,kern,1.0,edb246ef18d1946ec8337d5dc5aea443,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx004.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx004.krn,False,True,,,"00000] TT[WS|WI, 4",,,,
shanx005,essen-china-shanxi,Zhen hunhun genzai ni houtou,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0005,,Helmut Schaffrath,,,,,data/shanx005.krn,kern,1.0,a251c2d019c72667fb5e4a3f9b427006,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx005.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx005.krn,False,True,,,"00000] TT[WS|WI, 5|2+3 metric grouping|Mixed meters:  4/8; 5/8",,,,
shanx006,essen-china-shanxi,Zhen hunhun genshang ni zoule,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0006,,Helmut Schaffrath,,,,,data/shanx006.krn,kern,1.0,3ef6b345f60867e7d378feb3aba28831,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx006.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx006.krn,False,True,,,"00000] TT[WS|WI, 6",,,,
shanx007,essen-china-shanxi,Shoujin calei zhan bugan,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0007,,Helmut Schaffrath,,,,,data/shanx007.krn,kern,1.0,a28e1e287674501609971bec376793d5,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx007.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx007.krn,False,True,,,"00000] TT[WS|WI, 7 (1)",,,,
shanx008,essen-china-shanxi,Shanhu he dangzhu ni zhe huilai,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0008,,Helmut Schaffrath,,,,,data/shanx008.krn,kern,1.0,ad294f6c5a6cef9d1b27a7919708c140,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx008.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx008.krn,False,True,,,"00000] TT[WS|WI, 7 (2)",,,,
shanx009,essen-china-shanxi,Liao bujian meizi shan dangzhule,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0009,,Helmut Schaffrath,,,,,data/shanx009.krn,kern,1.0,e174f47d91aa4738ff8e9d55e1b1f0db,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx009.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx009.krn,False,True,,,"00000] TT[WS|WI, 8",,,,
shanx010,essen-china-shanxi,Tianhe shuige liangtou qi,,"Asia, China, Shanxi Hequ",,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J0010,,Helmut Schaffrath,,,,,data/shanx010.krn,kern,1.0,a1917ba511af9508a8bd42482297ba66,https://kern.humdrum.org/cgi-bin/ksdata?file=shanx010.krn&l=essen/asia/china/shanxi&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/shanxi/shanx010.krn,False,True,,,"00000] TT[WS|WI, 9",,,,
