id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
H0001A,haydn-scottish-songs,Mary's Dream,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,G,,,,,4/4,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,2,1A,,Hob.XXXIa:1A,,Damien Sagrillo,,,,,data/H0001A.krn,kern,,41c2e8cd758f31b79106845371c462e3,https://kern.humdrum.org/cgi-bin/ksdata?file=H0001A.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/H0001A.krn,False,True,,"{""minrhy"": ""32"", ""cut"": ""Mary's Dream"", ""key"": ""H0001A 32  G 4/4"", ""bem"": ""Vorschlge Triller,Bindungen weggelassen, original fis"", ""fog"": ""a--aw-b--c--d--dv--bv-cv-""}",,,,,
HA002,haydn-scottish-songs,John Anderson,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,G,,,,,2/2,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,3,2,,Hob.XXXIa:2,,Damien Sagrillo,,,,,data/HA002.krn,kern,,a32e327fcb6094db69e4ef2c3198457a,https://kern.humdrum.org/cgi-bin/ksdata?file=HA002.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA002.krn,False,True,,"{""minrhy"": ""8"", ""cut"": ""John Anderson"", ""key"": ""HA002  08  G 2/2"", ""bem"": ""Vorschlge weggelassen, letzte Zeile bei 7 => # weggelassen"", ""fog"": ""a--b--a--c--cw-d--e--f--""}",,,,,
HA003,haydn-scottish-songs,I Love My Love in Secret,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,G,,,,,2/2,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,4,3,,Hob.XXXIa:3,,Damien Sagrillo,,,,,data/HA003.krn,kern,,93a20e6f53aa2a69248b84f21010651b,https://kern.humdrum.org/cgi-bin/ksdata?file=HA003.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA003.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""I Love My Love in Secret"", ""key"": ""HA003  16  G 2/2"", ""bem"": ""Vorschlge, Triller, Bindungen weggelassen"", ""fog"": ""a--aw-b--c--av-aw-d--e--""}",,,,,
HA004,haydn-scottish-songs,Willie was a Wanton Wag,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,C,,,,,2/2,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,5,4,,Hob.XXXIa:4,,Damien Sagrillo,,,,,data/HA004.krn,kern,,a7f1390df928ff5e9946ba547b9e1785,https://kern.humdrum.org/cgi-bin/ksdata?file=HA004.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA004.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""Willie was a Wanton Wag"", ""key"": ""HA004  16  C 2/2"", ""bem"": ""keine Vorschlge"", ""fog"": ""a--aw-av-aw'b--bw-b--c--""}",,,,,
HA005,haydn-scottish-songs,Saw Ye My Father,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,D,,,,,2/4,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,6,5,,Hob.XXXIa:5,,Damien Sagrillo,,,,,data/HA005.krn,kern,,2781d0b467a9f3495623cd9830beefa7,https://kern.humdrum.org/cgi-bin/ksdata?file=HA005.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA005.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""Saw Ye My Father"", ""key"": ""HA005  16  D 2/4"", ""bem"": ""Vorschlge, Bindungen weggelassen"", ""fog"": ""a--b--c--d--e--f--""}",,,,,
HA006,haydn-scottish-songs,Todlen Hame,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,A,,,,,6/8,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,7,6,,Hob.XXXIa:6,,Damien Sagrillo,,,,,data/HA006.krn,kern,,d9de8045f4ffd99fa9d28f05a8c3ff0a,https://kern.humdrum.org/cgi-bin/ksdata?file=HA006.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA006.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""Todlen Hame"", ""key"": ""HA006  16  A 6/8"", ""bem"": NaN, ""fog"": ""a--av-b--av-av'av-av'av-""}",,,,,
HA007,haydn-scottish-songs,Fy Gar Rub Her O'er Wi' Strae,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,e,,,,,2/2,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,8,7,,Hob.XXXIa:7,,Damien Sagrillo,,,,,data/HA007.krn,kern,,3b9670557ee71cd938db622cae35d6e1,https://kern.humdrum.org/cgi-bin/ksdata?file=HA007.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA007.krn,False,True,,"{""minrhy"": ""8"", ""cut"": ""Fy Gar Rub Her O'er Wi' Strae"", ""key"": ""HA007  08  e 2/2"", ""bem"": ""Vorschlge, Bindungen weggelassen"", ""fog"": ""a--b--av-b--c--d--cv-bv-""}",,,,,
HA008,haydn-scottish-songs,Green Grow the Rashes,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,d,,,,,2/2,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,9,8,,Hob.XXXIa:8,,Damien Sagrillo,,,,,data/HA008.krn,kern,,d8fec3e19ea88333c53fd294ecda5c05,https://kern.humdrum.org/cgi-bin/ksdata?file=HA008.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA008.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""Green Grow the Rashes"", ""key"": ""HA008  16  d 2/2"", ""bem"": ""keine Vorschlge, Bindungen"", ""fog"": ""a--b--c--d--e--f--g--h--""}",,,,,
HA009,haydn-scottish-songs,The Waefu' Heart,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,F,,,,,4/4,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,10,9,,Hob.XXXIa:9,,Damien Sagrillo,,,,,data/HA009.krn,kern,,6c651f659929634b92583e08d02f1d18,https://kern.humdrum.org/cgi-bin/ksdata?file=HA009.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA009.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""The Waefu' Heart"", ""key"": ""HA009  16  F 4/4"", ""bem"": ""Vorschlge, Bindungen, Triller, Orgelpunkte weggelassen"", ""fog"": ""a--b--c--d--e--f--g--h--""}",,,,,
HA010,haydn-scottish-songs,The Ploughman,,Scotland,,,,English,stan1293,Scots,,,,,,,,,True,D,,,,,2/2,,Joseph Haydn,,,1792,haydn1792scots,book,A Selection of Original Scots Songs (Hob.XXXIa),Joseph Haydn,1792,11,10,,Hob.XXXIa:10,,Damien Sagrillo,,,,,data/HA010.krn,kern,,9e8d5d5e3a47dc367140e5f4853dd793,https://kern.humdrum.org/cgi-bin/ksdata?file=HA010.krn&l=users/sagrillo/scotland&format=kern,http://verovio.humdrum.org/?file=sagrillo/scotland/HA010.krn,False,True,,"{""minrhy"": ""16"", ""cut"": ""The Ploughman"", ""key"": ""HA010  16  D 2/2"", ""bem"": ""ein Vorschlag weggelassen"", ""fog"": ""a--aw-b--c--a--aw--bv-c--""}",,,,,
