id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
NHSDiscography-001,natural-history-of-song,Lullaby,,"Mornington Island, Queensland, Australia",-16.52,139.41,False,,,Lardil,,,Lullaby,,,,,,,,,0,,,,,,1966,,,,,On Songs from North Queensland [CD],,2013,,Track 4,,,http://www.worldcat.org/oclc/830532278,,,,,,data/Transcriptions/xml_raw/NHSDiscography-001.xml,xml,,ca5ec0ee6f3e36a1a9440951abd8183c,,,False,True,,,,,,,
NHSDiscography-002,natural-history-of-song,Healing Song,,"Samanai Village, Green River (West Sepik Province), Papua New Guinea",-3.9,141.19,False,,,Anggor,,,Healing,,,,,,,,,7,,,,,,1987,,,,,On Songs & Dances from Papua New Guinea [CD],,2001,,Track 9,,,http://www.worldcat.org/oclc/47967141,,,,,,data/Transcriptions/xml_raw/NHSDiscography-002.xml,xml,,877f82da73956d8069743ae5f182928f,,,False,True,,,,,,,
NHSDiscography-003,natural-history-of-song,Lullaby,,"Browning, Montana, USA",48.5569174,-113.0134175,False,,,Blackfoot,,,Lullaby,,,,,,,,,19,,,,,,1966,,,,,On An Historical Album of Blackfoot Indian Music [CD],,2001,,Track 9,,,http://www.worldcat.org/oclc/51601305,,,,,,data/Transcriptions/xml_raw/NHSDiscography-003.xml,xml,,14005d6e8265e5ec72c02bf81ff2c171,,,False,True,,,,,,,
NHSDiscography-004,natural-history-of-song,Untitled Karimganj healing track,,"Karimganj, Mainpuri District, Uttar Pradesh, India",27.310641999999998,79.036254,False,,,Uttar Pradesh,,,Healing,,,,,,,,,19,,,,,,1994,,,,,Unpublished recording acquired from Susan Wadley (1994),,,,,,,.,,,,,,data/Transcriptions/xml_raw/NHSDiscography-004.xml,xml,,5505fbf2f7744f43c84709b6d4e5711e,,,False,True,,,,,,,
NHSDiscography-005,natural-history-of-song,Wadana dances,,"Chocó Department, Colombia",5.28,-76.83,False,,,Emberá,,,Dance,,,,,,,,,15,,,,,,1960,,,,,On The Music of Some Indian Tribes of Colombia [LP],,1972,,Track 2,,,http://www.worldcat.org/oclc/21862218,,,,,,data/Transcriptions/xml_raw/NHSDiscography-005.xml,xml,,7012825542c1dda305622b919b0dc51b,,,False,True,,,,,,,
NHSDiscography-006,natural-history-of-song,Drumming and singing for a medicine-man's dance,,"Dimbokro, Côte d'Ivoire",6.39,-4.42,False,,,Akan,,,Healing,,,,,,,,,11,,,,,,1946-1952,,,,,On Baoulé Côte d’Ivoire [LP],,1946-1952,,Track 6,,,http://www.worldcat.org/oclc/671260633,,,,,,data/Transcriptions/xml_raw/NHSDiscography-006.xml,xml,,ec0b54b267d76055f87bbd2f2bf12367,,,False,True,,,,,,,
NHSDiscography-007,natural-history-of-song,Musiqueada jazmin guype,,"Asuncion, Paraguay",-25.289,-57.606,False,,,Guarani,,,Love,,,,,,,,,12,,,,,,1953,,,,,"On Les Quatre Guaranis Chant, Guitares et Harpe Indienne [LP]",,1953,,"Side 1, Track 3",,,http://id.lib.harvard.edu/aleph/012096982/catalog,,,,,,data/Transcriptions/xml_raw/NHSDiscography-007.xml,xml,,dda40052e2deecc726e3843b0527a597,,,False,True,,,,,,,
NHSDiscography-008,natural-history-of-song,Paranda,,"Barranco, Belize ",16.001070199999997,-88.9186343999999,False,,,Garifuna,,,Love,,,,,,,,,28,,,,,,pre-1982,,,,,On Traditional Music of the Garifuna (Black Carib) of Belize [CD],,2001,,Track 7,,,http://www.worldcat.org/oclc/49344152,,,,,,data/Transcriptions/xml_raw/NHSDiscography-008.xml,xml,,0d333ce7667f56c46c9fc7713bf5e1d8,,,False,True,,,,,,,
NHSDiscography-009,natural-history-of-song,Canción de cuna,,"Guerrero, Mexico",17.7239,-100.0719,False,,,Nahua,,,Lullaby,,,,,,,,,8,,,,,,1962,,,,,On In Xóchitl in cuícatl [CD],,1980,,Track 1,,,http://www.worldcat.org/oclc/55029585,,,,,,data/Transcriptions/xml_raw/NHSDiscography-009.xml,xml,,bd7126a9523101a312c1372c9e74df0d,,,False,True,,,,,,,
NHSDiscography-010,natural-history-of-song,Love song,,"British Columbia, Canada",54.0,-125.0,False,,,Kwakwaka'wakw,,,Love,,,,,,,,,14,,,,,,1947-1953,,,,,On Indian Music of the Pacific Northwest Coast [LP],,1967,,"Side 4, Track 1",,,http://www.worldcat.org/oclc/2271400,,,,,,data/Transcriptions/xml_raw/NHSDiscography-010.xml,xml,,d5f8002f309a9055746ab6868b7773a2,,,False,True,,,,,,,
