id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
i0500,sagrillo-ireland,A Lady Fair,,Ireland,,,,Irish,iris1253,,,,courtship|social class,,,,,,,D,heptatonic dorian,10,,,3/4,,,,,,oboyle1976irish,,,,,34,,,,,Damien Sagrillo,,,,,data/i0500.krn,kern,,63822f29ba5830e08c0c693e0c0aca0f,https://kern.humdrum.org/cgi-bin/ksdata?file=i0500.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0500.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[8"", ""rhy1"": ""X_X_X_  X_.XX_X_X_X_  X_X__"", ""rhy2"": ""XXXXXX  X_.XX_X_X_X_  X__."", ""key"": ""I0500  16  D 3/4 ]  ZZ[8"", ""kad"": ""+1-7b+11+1-7b+11"", ""akz"": ""17b_5-7b_17b_51_+17b_5-7b_17b_51_"", ""fot"": ""'a__b__a__c__d__e__a__cv_"", ""for"": ""'a__aw_a__b__c__cw_a__d__"", ""fok"": ""'Va_\\__Va_\\__/__\\__Va_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0501,sagrillo-ireland,Aililiu na Gamhna,,Ireland,,,,Irish,iris1253,,,,,,,,,,,A,heptatonic phrygian,10b,,,2/4,,,,,,oboyle1976irish,,,,,35,,,,,Damien Sagrillo,,,,,data/i0501.krn,kern,,1729bb14081ad48e996e41b5258330cd,https://kern.humdrum.org/cgi-bin/ksdata?file=i0501.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0501.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 ]  ZZ[8"", ""rhy1"": ""X_XX  X_XX  X_XX  X_X"", ""rhy2"": ""X  X_XX  X_X_  X_XX  X_X"", ""key"": ""I0501  08  A 2/4 ]  ZZ[8"", ""kad"": ""-7b-7b51-7b-7b51"", ""akz"": ""1-4-5-7b_16b4-7b_16b43b_4-5-41_1-5-5-7b_16b4-7b_16b43b_4-5-41_"", ""fot"": ""'a__b__c__d__aw_bw_cv_dv_"", ""for"": ""'a__b__c__d__e__dv_cv_d__"", ""fok"": ""'Vd_^__~a_Vd_Vd_^d_~a_Vd_"", ""n7k"": ""0] N7[11] O1[5] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0502,sagrillo-ireland,A Bhruinnillin Bhéasach,,Ireland,,,,Irish,iris1253,,,,,,,,,,,F,heptatonic lydian,10b,,,3/4,,,,,,oboyle1976irish,,,,,36,,,,,Damien Sagrillo,,,,,data/i0502.krn,kern,,b15be4694a201c59cb236e4b107e3d4b,https://kern.humdrum.org/cgi-bin/ksdata?file=i0502.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0502.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X_X_  X__X__X_.X  X__X__X_.X  X__X__X_.X  X__X__.X_  X__.0_"", ""rhy2"": ""X_.X  X__X__X_X_  X__X__X_X_  X__X__X_.X  X_XXX__.X_  X__.0_"", ""key"": ""I0502  16  F 3/4 ]  ZZ[4"", ""kad"": ""1551"", ""akz"": ""36521_31665_31665_36521_"", ""fot"": ""'a__b__b__a__"", ""for"": ""'a__b__c__av_"", ""fok"": ""'M__Ma_Ma_M__"", ""n7k"": ""8] N7[0] O1[9] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0503,sagrillo-ireland,Ban - chnoic éireann ó,,Ireland,,,,Irish,iris1253,,,,,,,,,,,D,heptatonic mixolydian,11,,,2/4,,,,,,oboyle1976irish,,,,,37,,,,,Damien Sagrillo,,,,,data/i0503.krn,kern,,144ba6785e4f428023818ab9bbc2cf24,https://kern.humdrum.org/cgi-bin/ksdata?file=i0503.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0503.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[8"", ""rhy1"": ""X_X_  X_X__X_  X_X_X_X_  X__X_X_  X__   (x2)"", ""rhy2"": ""X_X_  X_X_X_X_  X_X_X_X_  X___  ^__"", ""key"": ""I0503  16  D 2/4 ]  ZZ[8"", ""kad"": ""6161+1-661"", ""akz"": ""4416_5-611_4416_5-611_7b7b5+1_7b65-6_7b7b16_5-611_"", ""fot"": ""'a__b__aw_b__c__d__e__b__"", ""for"": ""'a__b__a__b__c__d__c__b__"", ""fok"": ""'~a_Vd_~a_Vd_~a_^d_~a_Vd_"", ""n7k"": ""8] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0504,sagrillo-ireland,Duan chroí íosa,,Ireland,,,,Irish,iris1253,,,,,,,,,,,E,heptatonic aeolean,7b,,,3/4,,,,,,oboyle1976irish,,,,,504,,,,,Damien Sagrillo,,,,,data/i0504.krn,kern,,5f6dbf026aa0911e08f9594d314dbbba,https://kern.humdrum.org/cgi-bin/ksdata?file=i0504.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0504.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""XX  X_X_X_  X__X_  X_X_X_  X__X_  X__.  ^_0_"", ""rhy2"": ""XX  X_X_X_  X__X_  X__X_  X_X_X_  X__.  ^_0_"", ""key"": ""I0504  08  E 3/4 ]  ZZ[4"", ""kad"": ""1441"", ""akz"": ""553b211_3b3b57b44_3b3b57b44_553b211_"", ""fot"": ""'a__b__bw_a__"", ""for"": ""'a__b__bv_a__"", ""fok"": ""'^d_Ma_S__^d_"", ""n7k"": ""2] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0505,sagrillo-ireland,As I roved out,,Ireland,,,,Irish,iris1253,,,,love,,,,,,,D,heptatonic mixolydian,10b,,,3/4|4/4,,,,,,oboyle1976irish,,,,,42,,,,,Damien Sagrillo,,,,,data/i0505.krn,kern,,f29161ba32a65e9bd828feaf6ea7ee33,https://kern.humdrum.org/cgi-bin/ksdata?file=i0505.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0505.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 4/4 ]  ZZ[4"", ""rhy1"": ""X_X_X_X_  X_.XX_X_X_X_  X_.XX_"", ""rhy2"": ""X_X_X_  X_.XXXX_X_XX  X__"", ""key"": ""I0505  16  D 3/4 4/4 ]  ZZ[4"", ""kad"": ""-7b451"", ""akz"": ""12_54_515_51_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'Ma_~a_$a_^a_"", ""n7k"": ""9] N7[0] O1[12] O2K[0] O2[2] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0506,sagrillo-ireland,Rßdßi na scadßn,,Ireland,,,,Irish,iris1253,,,,story,,,,,,,C,heptatonic mixolydian,9,,,3/4,,,,,,oboyle1976irish,,,,,44,,,,,Damien Sagrillo,,,,,data/i0506.krn,kern,,d82afd4686b0f10fc7676aaf411ed0f4,https://kern.humdrum.org/cgi-bin/ksdata?file=i0506.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0506.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""XX  X_X_X_  X__X_  X__X_  X__XX  X__.  ^_0_"", ""rhy2"": ""XX  X_X_X_  X__XX  X_X_X_  XX_.X_  X__.  ^_0_"", ""key"": ""I0506  08  C 3/4 ]  ZZ[4"", ""kad"": ""+1121"", ""akz"": ""7b7b56+1+1_+265211_332522_57b5211_"", ""fot"": ""'a__b__c__bw_"", ""for"": ""'a__b__c__d__"", ""fok"": ""'~a_\\__Sd_^d_"", ""n7k"": ""0] N7[10] O1[28] O2K[0] O2[7] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0507,sagrillo-ireland,The banks of the bann,,Ireland,,,,Irish,iris1253,,,,seduction,,,,,,,D,hexatonic minor,9,,,4/4,,,,,,oboyle1976irish,,,,,46,,,,,Damien Sagrillo,,,,,data/i0507.krn,kern,,8d35c83d8632412e4cb1be877d73f1ec,https://kern.humdrum.org/cgi-bin/ksdata?file=i0507.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0507.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""XX  X_X__XX  X_X__XX  X_X__X_  X__."", ""rhy2"": ""XX  X_X__XX  X_X__X_  X_X__XX  X__."", ""key"": ""I0507  08  D 4/4 ]  ZZ[4"", ""kad"": ""1311"", ""akz"": ""35+1+13311_+2+2+1+1+1533_+2+2+1+1+1531_55+1+13311_"", ""fot"": ""'a__b__bw_aw_"", ""for"": ""'a__b__bw_a__"", ""fok"": ""'^__^d_^d_^__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0508,sagrillo-ireland,The blackbird of Mullaghmore,,Ireland,,,,Irish,iris1253,,,,policital|allegory,,,,,,,F,hexatonic minor,11,,,4/4,,,,,,oboyle1976irish,,,,,48,,,,,Damien Sagrillo,,,,,data/i0508.krn,kern,,9a2de160078007e72f52cdfc6c1fe51c,https://kern.humdrum.org/cgi-bin/ksdata?file=i0508.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0508.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""XX  X_.XX_X_  XXX__X_  X_X_X_.X  X__."", ""rhy2"": ""X_  X_.XX_X_  XXX__X_  X_X_X_XX  X__."", ""key"": ""I0508  08  F 4/4 ]  ZZ[4"", ""kad"": ""15-61"", ""akz"": ""321-5-5111_13513555_565153-6-6_321-5-5111_"", ""fot"": ""'a__b__c__a__"", ""for"": ""'a__b__c__a__"", ""fok"": ""'Vd_/__Md_Vd_"", ""n7k"": ""9] N7[0] O1[1] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
i0509,sagrillo-ireland,Bonny Portmore,,Ireland,,,,Irish,iris1253,,,,story|melancholy,,,,,,,D,hexatonic,9,,,3/4,,,,,,oboyle1976irish,,,,,50,,,,,Damien Sagrillo,,,,,data/i0509.krn,kern,,1f7988114fef96c0b9fd0b44ad5520bb,https://kern.humdrum.org/cgi-bin/ksdata?file=i0509.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0509.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X_X_  X__X__(X_X_X_)  X__X__(X_X_X_)  X__X__X_X_  X___   (x2)"", ""rhy2"": ""X_X_  X__X__(X_X_X_)  X__X__X_X_  X__X__X__  X___"", ""key"": ""I0509  16  D 3/4 ]  ZZ[4"", ""kad"": ""2121"", ""akz"": ""157b2_1521_7b67b2_7b441_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'Sd_Sd_^d_Md_"", ""n7k"": ""13] N7[0] O1[8] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
