id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
M1187,sagrillo-luxembourg,Trulala,,Luxemburg,,,,,,,,,,,,,,,,G,hexatonic minor,6,,,2/4,,,,,,,,,,,,,,,,Damien Sagrillo,,,,,data/m/M1187.krn,kern,,0f2990608fd2f1aadf34c80bb4243d76,https://kern.humdrum.org/cgi-bin/ksdata?file=M1187.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/M1187.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 ]  ZZ[2"", ""rhy1"": ""X XXXX XXX_ XXX_ XXX_"", ""rhy2"": ""X XXXX XXX_ X_X_ X_. // "", ""key"": ""M1187  08  G 2/4 ]  ZZ[2"", ""kad"": ""51"", ""akz"": ""__"", ""fot"": ""'a__b__"", ""for"": ""'a__av_"", ""fok"": ""'-__-__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0083,sagrillo-luxembourg,Jetzt reisen wir zum Tor hinaus,,Luxemburg,,,,,,,,,separation,,,,,,,G,heptatonic ionian,9,,,4/4,,,,,,kintzele1926ucht1,,,,,10,1-4,,,,Damien Sagrillo,,,,,data/k/k0083.krn,kern,,932501d49a2c4fa397379547080cae14,https://kern.humdrum.org/cgi-bin/ksdata?file=k0083.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0083.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[5"", ""rhy1"": ""X  X_X_X_X_  X_X_X_X_  X__0_"", ""rhy2"": ""XX  X_X_X_X_  X_X_X_X_  X__0_"", ""key"": ""K0083  08  G 4/4 ]  ZZ[5"", ""kad"": ""23553"", ""akz"": ""11122_22233_5335_2225_153_"", ""fot"": ""'a__as'b__as\""c__"", ""for"": ""'a__av_aw_b__aw_"", ""fok"": ""'/__/__V__Va_S__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0084,sagrillo-luxembourg,'T Lidd vun de Mölleren,,Luxemburg,,,,,,,,,work,,,,,,,G,heptatonic lydian,9,,,6/8,,,,,,kintzele1926ucht1,,,,,15,1-6,,,,Damien Sagrillo,,,,,data/k/k0084.krn,kern,,a42c440f9a6aca6bfc7b2814ce5da993,https://kern.humdrum.org/cgi-bin/ksdata?file=k0084.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0084.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""6/8 ]  ZZ[5"", ""rhy1"": ""X  X_XX_X  X_XX_"", ""rhy2"": ""X  X_XXXX  XXXX0"", ""key"": ""K0084  08  G 6/8 ]  ZZ[5"", ""kad"": ""1-52-51"", ""akz"": ""12-71_-72-6-5_5652_521-5_1221_"", ""fot"": ""'a__b__c__cs\""aw_"", ""for"": ""'a__b__c__d__c__"", ""fok"": ""'^a_^d_\\__^d_^a_"", ""n7k"": ""0] N7[1] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0085,sagrillo-luxembourg,Die Heufahrt,,Luxemburg,,,,,,,,,work,,,,,,,G,heptatonic ionian,10,,,6/8,,,,,,kintzele1926ucht1,,,,,18,1-7,,,,Damien Sagrillo,,,,,data/k/k0085.krn,kern,,8c81aaf6df01029171415d9432bd688d,https://kern.humdrum.org/cgi-bin/ksdata?file=k0085.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0085.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""6/8 ]  ZZ[7"", ""rhy1"": ""X_  X_.XX_X_.XX_  X__X_X__X_  X_.XX_X_.XX_  X__.0__"", ""rhy2"": ""X_  X__X_X_.XX_  X__X_X_X_X_  X__XXX_.XX_  X__.0__"", ""key"": ""K0085  16  G 6/8 ]  ZZ[7"", ""kad"": ""2233131"", ""akz"": ""15-74152_15-74152_223223_6453_741_6453_251_"", ""fot"": ""'a__av_b__c__d__c__e__"", ""for"": ""'a__b__c__d__aw_d__aw_"", ""fok"": ""'Ma_$a_-__\\__^d_\\__^d_"", ""n7k"": ""0] N7[1] O1[1] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0086,sagrillo-luxembourg,Die Träne,,Luxemburg,,,,,,,,,,,,,,,,F,octatonic major,11,,,4/4,,,,,,kintzele1926ucht1,,,,,21f,1-8,,,,Damien Sagrillo,,,,,data/k/k0086.krn,kern,,f996341fb9216c0ff4f05da98a35fb7f,https://kern.humdrum.org/cgi-bin/ksdata?file=k0086.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0086.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""4/4 ]  ZZ[11"", ""rhy1"": ""X_X_X_  X__.X_X_.XX_X_  X___0_"", ""rhy2"": ""X_X_X_  X__.X_X_X_X_X_  X___0_"", ""key"": ""K0086  16  F 4/4 ]  ZZ[11"", ""kad"": ""31311366351"", ""akz"": ""553_221_553_221_331_653_226_37_53_+165_131_"", ""fot"": ""'a__b__a__bv_as'c__bw_d__e__f__g__"", ""for"": ""'a__b__a__b__b__a__b__c__d__aw_aw_"", ""fok"": ""'^a_\\__^a_\\__\\__^a_/__V__\\__\\__^__"", ""n7k"": ""0] N7[1] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0087,sagrillo-luxembourg,La jeune Indienne,,Luxemburg,,,,,,,,,love|homeland,,,,,,,G,octatonic major,10,,,4/4,,,,,,kintzele1926ucht1,,,,,28,1-11,,,,Damien Sagrillo,,,,,data/k/k0087.krn,kern,,7c2fd5331d2f67112d67d968d35c5656,https://kern.humdrum.org/cgi-bin/ksdata?file=k0087.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0087.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[9"", ""rhy1"": ""XXX  X_.XXXXX  X_X_0"", ""rhy2"": ""XXX  X_.XXXXX  X_0_."", ""key"": ""K0087  08  G 4/4 ]  ZZ[9"", ""kad"": ""111131311"", ""akz"": ""3-53_251_3-53_251_515_251_515_251_751_"", ""fot"": ""'a__b__a__b__c__b__c__b__d__"", ""for"": ""'a__aw_a__aw_a__aw_a__aw_aw_"", ""fok"": ""'^a_~d_^a_~d_\\__~d_\\__~d_^d_"", ""n7k"": ""0] N7[0] O1[2] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0088,sagrillo-luxembourg,In einem kühlen Grunde,,Luxemburg,,,,,,,,,fidelity|love|loyalty,,,,,,,G,heptatonic ionian,11,,,6/8,,,,,,kintzele1926ucht1,,,,,31,1-12,,,,Damien Sagrillo,,,,,data/k/k0088.krn,kern,,8a3513c63b5946e17386752d723c30ba,https://kern.humdrum.org/cgi-bin/ksdata?file=k0088.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0088.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""6/8 ]  ZZ[6"", ""rhy1"": ""X  X_XXXX  X_X_X"", ""rhy2"": ""X  X_XXXX  X__0"", ""key"": ""K0088  08  G 6/8 ]  ZZ[6"", ""kad"": ""-73-6341"", ""akz"": ""3342_1233_325-6_1233_3256_1311_"", ""fot"": ""'a__b__c__bv_cw_d__"", ""for"": ""'a__aw_b__aw_c__d__"", ""fok"": ""'^a_/__^d_/__^a_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0089,sagrillo-luxembourg,Einst stand ich auf hohen Bergen,,Luxemburg,,,,,,,,,forbidden love,,,,,,,G,heptatonic ionian,11,,,3/4,,,,,,kintzele1926ucht1,,,,,34,1-13,,,,Damien Sagrillo,,,,,data/k/k0089.krn,kern,,9909cf379ed1a50a17bd30f81f881725,https://kern.humdrum.org/cgi-bin/ksdata?file=k0089.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0089.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[6"", ""rhy1"": ""XX  X_.XX_  X_X_X_  X_X_"", ""rhy2"": ""XX  X_X_X_  X_X_X_  X__"", ""key"": ""K0089  08  G 3/4 ]  ZZ[6"", ""kad"": ""232321"", ""akz"": ""1-33_-563_553_-563_553_-541_"", ""fot"": ""'a__b__c__b__c__d__"", ""for"": ""'a__b__c__b__c__b__"", ""fok"": ""'~a_^a_^d_^a_^d_^a_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0090,sagrillo-luxembourg,Es wohnt sich ein Müller an jenem Deich,,Luxemburg,,,,,,,,,seduction|social class,,,,,,,G,hexatonic minor,8,,,4/4,,,,,,kintzele1926ucht1,,,,,37,1-14,,,,Damien Sagrillo,,,,,data/k/k0090.krn,kern,,28fff2bb1d9c1635724e9839e9654ece,https://kern.humdrum.org/cgi-bin/ksdata?file=k0090.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0090.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""4/4 ]  ZZ[3"", ""rhy1"": ""X__  X_XXX_XXX_XXX__  X__X__X__0_"", ""rhy2"": ""XX  X_XXX_XXX_XXX__  X_XXX_XXX_XXX_"", ""key"": ""K0090  16  G 4/4 ]  ZZ[3"", ""kad"": ""333"", ""akz"": ""1113_3523_3523_"", ""fot"": ""'a__b__bv_"", ""for"": ""'a__b__c__"", ""fok"": ""'~a_~a_^a_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0091,sagrillo-luxembourg,Es gung ein Jäger wohl jagen,,Luxemburg,,,,,,,,,seduction|lovemaking,,,,,,,G,hexatonic minor,8,,,4/4,,,,,,kintzele1926ucht1,,,,,40,1-15,,,,Damien Sagrillo,,,,,data/k/k0091.krn,kern,,aeccc360a03d4d9a657a984697be50ae,https://kern.humdrum.org/cgi-bin/ksdata?file=k0091.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0091.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[6"", ""rhy1"": ""XX  X_.XXXXX  X_X_0_"", ""rhy2"": ""XX  X_X_X_X_  X__0_"", ""key"": ""K0091  08  G 4/4 ]  ZZ[6"", ""kad"": ""-535353"", ""akz"": ""312_423_3335_423_3335_423_"", ""fot"": ""'a__as'b__as'b__as'"", ""for"": ""'a__b__c__d__c__d__"", ""fok"": ""'M__/__/__\\__/__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0092,sagrillo-luxembourg,Rinaldo-Rinaldini,,Luxemburg,,,,,,,,,legend|love,,,,,,,Bb,octatonic major,12,,,4/4,,,,,,kintzele1926ucht1,,,,,43f,1-16,,,,Damien Sagrillo,,,,,data/k/k0092.krn,kern,,2db07dfa8cbf4adb3217f85fa412ea9c,https://kern.humdrum.org/cgi-bin/ksdata?file=k0092.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0092.krn,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[7"", ""rhy1"": ""XX  X_X_X_X_  X_XXX_"", ""rhy2"": ""XX  X_X_X_X_  XXXXX_"", ""key"": ""K0092  08 Bb 4/4 ]  ZZ[7"", ""kad"": ""-12-52211"", ""akz"": ""1-5-3-1_-7222_-72-5_433_433_1251_-6311_"", ""fot"": ""'a__b__bw_c__cv_d__e__"", ""for"": ""'a__b__c__d__d__e__f__"", ""fok"": ""'^d_^a_\\__^a_^a_^a_S__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0093,sagrillo-luxembourg,Eng Hellecht um Dueref,,Luxemburg,,,,,,,,,courtship,,,,,,,G,octatonic major,9,,,6/8,,,,,,kintzele1926ucht1,,,,,46f,1-17,,,,Damien Sagrillo,,,,,data/k/k0093.krn,kern,,f5be8577c033e521ea154b1299911c68,https://kern.humdrum.org/cgi-bin/ksdata?file=k0093.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0093.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""6/8 ]  ZZ[10"", ""rhy1"": ""X_  X_X_X_X_X_X_  X__.X__"", ""rhy2"": ""X_  X__X_X__XX  X__.0__"", ""key"": ""K0093  16  G 6/8 ]  ZZ[10"", ""kad"": ""-61-612-5-6141"", ""akz"": ""-514-6_321_-514-6_321_2252_21-5_334-6_321_52-64_321_"", ""fot"": ""'a__b__a__b__c__d__e__bv_f__bv_"", ""for"": ""'a__b__a__b__c__c__d__d__a__a__"", ""fok"": ""'^a_\\__^a_\\__^__^d_^a_\\__~a_^d_"", ""n7k"": ""0] N7[13] O1[36] O2K[0] O2[15] O3K[0] O3[3] H\u00d6[0""}",,,,,
k0094,sagrillo-luxembourg,Ein Fräulein stand vor der Himmelstür,,Luxemburg,,,,,,,,,mockery|joke,,,,,,,C,hexatonic minor,6,,,2/4,,,,,,kintzele1926ucht1,,,,,49,1-18,,,,Damien Sagrillo,,,,,data/k/k0094.krn,kern,,52ea3d9d6102252350598cc44bb2f214,https://kern.humdrum.org/cgi-bin/ksdata?file=k0094.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0094.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[4"", ""rhy1"": ""X_  X_X_XXXX  X_X_X_"", ""rhy2"": ""XX  X_XXX_XX  X__X_"", ""key"": ""K0094  16  C 2/4 ]  ZZ[4"", ""kad"": ""6+17+1"", ""akz"": ""5+1_+2+3_57_+2+1_"", ""fot"": ""'a__as\""b__c__"", ""for"": ""'a__b__a__b__"", ""fok"": ""'\\__\\__Vd_Vd_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
k0095,sagrillo-luxembourg,Das Grab ist tief und stille,,Luxemburg,,,,,,,,,,,,,,,,D,heptatonic ionian,9b,,,4/4,,,,,,kintzele1926ucht1,,,,,54,1-20,,,,Damien Sagrillo,,,,,data/k/k0095.krn,kern,,c582c94329a954b59c9100e14eaa9a3a,https://kern.humdrum.org/cgi-bin/ksdata?file=k0095.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k0095.krn,False,True,,"{""minrhy"": ""16"", ""meters"": ""4/4 ]  ZZ[6"", ""rhy1"": ""X__  X__.X_X__.X_  X_X_X__0_   (x2)"", ""rhy2"": ""X__  X__X__X_X_X_X_  X___0_"", ""key"": ""K0095  16  D 4/4 ]  ZZ[6"", ""kad"": ""-735151"", ""akz"": ""531_453_6+16_521_6+16_521_"", ""fot"": ""'a__b__c__d__c__d__"", ""for"": ""'a__b__c__d__c__d__"", ""fok"": ""'\\__\\__^a_^d_^a_^d_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,,
